amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation 
114-9656361-4433006	114-9656361-4433006	2018-07-01T21:29:37+00:00	2018-07-05T00:47:34+00:00	Shipped	Amazon	Amazon.com			SecondDay	ZAIAI Sports Bras For Women Plus Size Rose Red 36	N2716YMH36	B074QFDH8R	Shipped	1	USD	5.41								VALRICO	FL	33596-8400	US		false		
111-2463657-6389804	111-2463657-6389804	2018-07-01T12:00:16+00:00	2018-07-02T02:25:11+00:00	Shipped	Amazon	Amazon.com			SecondDay	ZAIAI Women's Microfiber Longline Lace Bralette Pink M	NY-XUHM002-PI-M	B07BKSWCR3	Shipped	1	USD	16.99								Herndon	VA	20171	US		false		
112-2215291-9999407	112-2215291-9999407	2018-07-01T04:46:27+00:00	2018-07-02T14:33:26+00:00	Shipped	Amazon	Amazon.com			SecondDay	ZAIAI Women's Microfiber Longline Lace Bralette Yellow S	NY-B15016-Y0-S	B078NNB2PQ	Shipped	1	USD	18.99								SAN DIMAS	CA	91773-1133	US		false		
111-4418315-4441839	111-4418315-4441839	2018-06-30T22:12:47+00:00	2018-07-02T02:52:48+00:00	Shipped	Amazon	Amazon.com			Expedited	ZAIAI Women Bras Comfor Straps Sports Bra Red 40	N039YR040	B074K4GLGJ	Shipped	1	USD	9.99								Philadelphia	PA	19145-4112	US		false		
111-4418315-4441839	111-4418315-4441839	2018-06-30T22:12:47+00:00	2018-07-02T02:52:48+00:00	Shipped	Amazon	Amazon.com			Expedited	ZAIAI Women Bras Size Sports Bra Pink 36	N039YTHS36	B074JTR9T4	Shipped	1	USD	7.8								Philadelphia	PA	19145-4112	US		false		
114-6459199-1171456	114-6459199-1171456	2018-06-30T19:32:03+00:00	2018-07-04T12:25:19+00:00	Shipped	Amazon	Amazon.com			SecondDay	Women Bras Plus Size Front Hook Sports Bra For Women Gray 38	N029YE038	B074JWL4F2	Shipped	1	USD	7.99								TUCSON	AZ	85718-6858	US		false		
114-5441904-8920206	114-5441904-8920206	2018-06-30T17:39:07+00:00	2018-07-01T21:23:50+00:00	Shipped	Amazon	Amazon.com			Expedited	Sports Bras For Teens Seamless Nursing Bra Green 34	N2716YYGL34	B074QCGCJC	Shipped	1	USD	9.99		1.2					1.2	surprise	az	85379	US		false		
114-0782387-6455453	114-0782387-6455453	2018-06-30T17:07:51+00:00	2018-07-03T10:19:51+00:00	Shipped	Amazon	Amazon.com			SecondDay	Women's White Linen Pants Casual Loose Linen Cropped Wide Leg Pants(White,L)	KTKXKW0L	B073XMFYWX	Shipped	1	USD	22.99								MILWAUKIE	OR	97267-1520	US		false		
114-7847963-3486621	114-7847963-3486621	2018-06-30T02:04:31+00:00	2018-07-02T08:21:06+00:00	Shipped	Amazon	Amazon.com			SecondDay	Women's White Linen Pants Casual Loose Linen Cropped Wide Leg Pants(White,L)	KTKXKW0L	B073XMFYWX	Shipped	1	USD	22.99								New Milford	CT	06776	US		false		
114-2466176-5809826	114-2466176-5809826	2018-06-30T01:24:01+00:00	2018-07-02T13:29:01+00:00	Shipped	Amazon	Amazon.com			Standard	MOCOTONO Women's Plus Size Elastic Waist Wide Leg Linen Cropped Pants Red Medium	KTKXKR0	B071NP2X5N	Shipped	1	USD	22.9		3.49					3.49	CHOWCHILLA	CA	93610-2043	US	US Core Free Shipping Promotion A3JU1FCINF5SD0	false		
111-5597186-8239459	111-5597186-8239459	2018-06-30T00:16:36+00:00	2018-07-01T02:59:36+00:00	Shipped	Amazon	Amazon.com			SecondDay	Women Bras On Sale Plus Size Every Day Sports Bra Red 38	N039YR038	B074K3YM47	Shipped	1	USD	9.99								HOUSTON	TX	77092-1342	US		false		
114-8352783-8664243	114-8352783-8664243	2018-06-29T21:11:48+00:00	2018-06-30T06:24:16+00:00	Shipped	Amazon	Amazon.com			SecondDay	ZAIAI Womens Cotton Thong Underwear Lace Trim Soft Sexy Lingerie Panties Set(6 Pack) Purple XL	N87232KP0XL	B074FS9DHG	Shipped	1	USD	5.27								GAITHERSBURG	MD	20877-1042	US		false		
112-0949353-6699456	112-0949353-6699456	2018-06-29T19:48:25+00:00	2018-06-30T17:41:29+00:00	Shipped	Amazon	Amazon.com			SecondDay	ZAIAI Nursing Bras For Women Sports Bra Red 36	N2716YR036	B074QGLLQN	Shipped	1	USD	9.99								TORRINGTON	CT	06790-7020	US		false		
111-1152867-7946617	111-1152867-7946617	2018-06-29T19:45:31+00:00	2018-06-30T19:33:23+00:00	Shipped	Amazon	Amazon.com			SecondDay	Women's White Linen Pants Casual Loose Linen Cropped Wide Leg Pants(White,L)	KTKXKW0L	B073XMFYWX	Shipped	1	USD	22.99								LITCHFIELD PARK	AZ	85340-6252	US		false		
