Merchant SKU	Fulfillment Network SKU	ASIN	Title	Reserved Quantity	Reserved: Customer Order	Reserved: FC Transfer	Reserved: FC Processing
LYQ-BS4600-G0-XS	X000PLPSRR	B01N6P1I5Z	Summer Mae Women's Long Sleeve Striped Shirt Back Lace Blouse Tunic Grey XS	4	0	0	4
LYQ-BS4600-P0-XL	X000PKIW1R	B01N1YL9GO	Summer Mae Women's Long Sleeve Striped Shirt Back Lace Blouse Tunic Purple XL	2	0	0	2
LYQ-CSM048-G0-XL	X000QNH3LN	B074NZKTJN	Summer Mae Women's Loose Casual Solid Long Sleeve Jumper Dress with Pockets and Mock Turtleneck	1	0	0	1
LYQ-CSM048-ZL-XL	X000QNCM69	B074NW2TZL	Summer Mae Women's Loose Casual Solid Long Sleeve Jumper Dress with Pockets and Mock Turtleneck	1	0	0	1
LYQ-BS-ZQ2973-E0-S	X000NKRTXV	B01N95R09H	Summer Mae Women's Long Sleeve Plain A Line Cable Knit Sweater Dress	3	0	0	3
LYQ-BS4600-P0-S	X000PKIW1H	B01N7OGTT9	Summer Mae Women's Long Sleeve Striped Shirt Back Lace Blouse Tunic Purple S	1	0	0	1
LYQ-BS4600-G1-M	X000NH5YKT	B01N2KHNRA	Summer Mae Women's Long Sleeve Striped Shirt Back Lace Blouse Tunic Army Green M	2	0	0	2
LYQ-BS-ZQ2973-E0-XXL	X000R42O1F	B075R6C7W5	Summer Mae Women's Long Sleeve Plain A Line Cable Knit Sweater Dress	1	0	0	1
LYQ-BS4600-P0-L	X000PMC0QX	B01N4K9T8X	Summer Mae Women's Long Sleeve Striped Shirt Back Lace Blouse Tunic Purple L	1	0	0	1
LYQ-BS-ZQ2973-ZL-L	X000NKS9AD	B01N2YM6T1	Summer Mae Women's Long Sleeve Plain A Line Cable Knit Sweater Dress	1	0	0	1
LYQ-BS-ZQ2973-MH-XXL	B075R78TF6	B075R78TF6	Summer Mae Women's Long Sleeve Plain A Line Cable Knit Sweater Dress	1	0	0	1
LYQ-BS4600-B0-XS	X000PLPSCR	B01MZ7Y9AO	Summer Mae Women's Long Sleeve Striped Shirt Back Lace Blouse Tunic Blue XS	1	0	0	1
LYQ-BS4600-G1-XS	X000PLPSD1	B01MT79IFZ	Summer Mae Women's Long Sleeve Striped Shirt Back Lace Blouse Tunic Army Green XS	4	0	0	4
LYQ-CSM048-ZL-L	X000QNH3E5	B074P5WYND	Summer Mae Women's Loose Casual Solid Long Sleeve Jumper Dress with Pockets and Mock Turtleneck	1	0	0	1
LYQ-BS4600-N0-XS	X000PMA58D	B01N9PTUNY	Summer Mae Women's Long Sleeve Striped Shirt Back Lace Blouse Tunic Brown XS	2	0	0	2
LYQ-CSM048-ZL-M	X000QNHF3J	B074P1CCRZ	Summer Mae Women's Loose Casual Solid Long Sleeve Jumper Dress with Pockets and Mock Turtleneck	1	0	0	1
LYQ-BS-ZQ2973-W1-S	X000MWIMGN	B01N42B1XD	Summer Mae Women's Long Sleeve Plain A Line Cable Knit Sweater Dress	9	0	0	9
LYQ-BS-ZQ2973-BD-XXL	X000R492JR	B075R5G91S	Summer Mae Women's Long Sleeve Plain A Line Cable Knit Sweater Dress	2	0	0	2
LYQ-CSM048-GR0-M	X000QNHF2Z	B074P2H27F	Summer Mae Women's Loose Casual Solid Long Sleeve Jumper Dress with Pockets and Mock Turtleneck	1	0	0	1
LYQ-BS-ZQ2973-G7-XXL	B075R61DDD	B075R61DDD	Summer Mae Women's Long Sleeve Plain A Line Cable Knit Sweater Dress	2	0	0	2
LYQ-CSM048-GR0-S	X000QNH4GR	B074P1R4Z1	Summer Mae Women's Loose Casual Solid Long Sleeve Jumper Dress with Pockets and Mock Turtleneck	1	0	0	1
LYQ-CSM048-G0-S	X000QN8VL9	B074P3QBRR	Summer Mae Women's Loose Casual Solid Long Sleeve Jumper Dress with Pockets and Mock Turtleneck	3	1	0	2
LYQ-BS-ZQ2973-KQ-XXL	X000R42UMX	B075R4YM4V	Summer Mae Women's Long Sleeve Plain A Line Cable Knit Sweater Dress	2	0	0	2
LYQ-CSM048-GR1-XL	X000QNHF3T	B074P51FNH	Summer Mae Women's Loose Casual Solid Long Sleeve Jumper Dress with Pockets and Mock Turtleneck	2	0	0	2
LYQ-CSM048-GR0-XL	X000QNHF43	B074NZKCP9	Summer Mae Women's Loose Casual Solid Long Sleeve Jumper Dress with Pockets and Mock Turtleneck	1	0	0	1
LYQ-BS-ZQ2973-ZL-XL	X000MWIMIB	B01N9MCD0O	Summer Mae Women's Long Sleeve Plain A Line Cable Knit Sweater Dress	1	0	0	1
