sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity
BS-PW-YH115-M3-S	X000P7UNIZ	B071D831NB	Summer Mae Mujer Encantador Vestir De Gasa Impreso	New	39.00	No		Yes	0	0	0	0	0	640.57	0	0	0
BS-PW2025-K0-2XL	X000OMAG0B	B06W2JPMW2	Summer Mae Traje de Baño Una Pieza Floreale Bañador Acolchado para Mujer	New	24.00	No		Yes	5	0	2	3	5	1814.38	0	0	0
BS-PW2025-K0-3XL	X000OMAM2D	B06W54R1BX	Summer Mae Traje de Baño Una Pieza Floreale Bañador Acolchado para Mujer	New	24.00	No		Yes	0	0	0	0	0	2265.68	0	0	0
BS-PW2025-K0-4XL	X000OMAM2N	B06VVBGMWP	Summer Mae Traje de Baño Una Pieza Floreale Bañador Acolchado para Mujer	New	24.00	No		Yes	2	1	0	1	7	1310.47	5	0	0
BS-PW2025-K0-5XL	X000OMANQN	B06X6FZKG9	Summer Mae Traje de Baño Una Pieza Floreale Bañador Acolchado para Mujer	New	24.00	No		Yes	1	0	0	1	1	1709.66	0	0	0
BS-PW2025-K0-L	X000OMAG1P	B06VV32R23	Summer Mae Traje de Baño Una Pieza Floreale Bañador Acolchado para Mujer	New	24.00	No		Yes	1	0	0	1	1	1709.66	0	0	0
BS-PW2025-K0-M	X000OMANQD	B06VTV3DQ6	Summer Mae Traje de Baño Una Pieza Floreale Bañador Acolchado para Mujer	New	24.00	No		Yes	0	0	0	0	0	1709.66	0	0	0
BS-PW2025-K0-XL	X000OMAG01	B06WGP4C1W	Summer Mae Traje de Baño Una Pieza Floreale Bañador Acolchado para Mujer	New	24.00	No		Yes	0	0	0	0	7	1512.03	7	0	0
BS-PW331-GE-L	X000P7GCJJ	B06XXYL2SS	Summer Mae Tankini Floral Traje de Baño Dos Piezas Push up para Mujer	New	30.00	No		Yes	0	0	0	0	0	2261.74	0	0	0
BS-PW331-GE-M	X000P7GFXR	B06XY113L6	Summer Mae Tankini Floral Traje de Baño Dos Piezas Push up para Mujer	New	30.00	Yes	0	No	0	0	0	0	0	2261.74	0	0	0
