"(父） ASIN","（子）ASIN","商品名称","买家访问次数","买家访问次数百分比","页面浏览次数","页面浏览次数百分比","购买按钮赢得率","已订购商品数量","订购数量 – B2B","订单商品数量转化率","商品转化率 – B2B","已订购商品销售额","已订购商品的销售额 – B2B","订单商品种类数","订单商品总数 – B2B"
"B06WD218DW","B01G3JERSM","Summer Mae Tankinis Rayé Classique - Maillot de Bain Mignon Deux Pièces avec Jupette pour Femme Bleu Azur XXL","4","0.05%","5","0.04%","100%","1","0","25.00%","0.00%","€19.89","€0.00","1","0"
"B06WD218DW","B01G3MA2TC","Summer Mae Tankinis Rayé Classique - Maillot de Bain Mignon Deux Pièces avec Jupette pour Femme Bleu Azur L","23","0.27%","23","0.21%","87%","1","0","4.35%","0.00%","€19.89","€0.00","1","0"
"B06XCDVXR3","B01G8H8T42","Maillot de Bain 1 Pièce Amincissant Super Sexy Push Up Rembourré, Robe de Bain Grande Taille pour Femme Noir Rayure Blanche 42 (XXL)","30","0.35%","42","0.38%","100%","3","0","10.00%","0.00%","€56.97","€0.00","3","0"
"B06XCDVXR3","B01G8H8VAO","Maillot de Bain 1 Pièce Amincissant Super Sexy Push Up Rembourré, Robe de Bain Grande Taille pour Femme Noir Rayure Blanche 38 (L)","75","0.87%","104","0.94%","92%","5","0","6.67%","0.00%","€94.95","€0.00","5","0"
"B06XCDVXR3","B01G8H8WRG","Maillot de Bain 1 Pièce Amincissant Super Sexy Push Up Rembourré, Robe de Bain Grande Taille pour Femme Noir Rayure Blanche 36 (M)","16","0.18%","18","0.16%","39%","1","0","6.25%","0.00%","€18.99","€0.00","1","0"
"B06XC6LPJZ","B01HFYMTRK","Summer Mae Femme Maillot De Bain Une Pièce Moulant, Elegant et Sexy Grande Taille Noir Imprimés Cerises XL","4","0.05%","4","0.04%","25%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06XC6LPJZ","B01HFYMV14","Summer Mae Femme Maillot De Bain Une Pièce Moulant, Elegant et Sexy Grande Taille Noir Imprimés Cerises 2XL","2","0.02%","2","0.02%","100%","1","0","50.00%","0.00%","€24.99","€0.00","1","0"
"B06XC6LPJZ","B01HFYMW04","Summer Mae Femme Maillot De Bain Une Pièce Moulant, Elegant et Sexy Grande Taille Noir Imprimés Cerises M","16","0.18%","21","0.19%","90%","2","0","12.50%","0.00%","€49.98","€0.00","2","0"
"B06XC6LPJZ","B01HFYMXUI","Summer Mae Femme Maillot De Bain Une Pièce Moulant, Elegant et Sexy Grande Taille Noir Imprimés Cerises L","7","0.08%","11","0.10%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06VTF2QKS","B01IOEHIMG","Summer Mae Femme Maillot De Bain Amincissant - Maillot Une Pièce Rayé Rouge","5","0.06%","6","0.05%","33%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06VTF2QKS","B01IOEHKXS","Summer Mae Femme Maillot De Bain Amincissant - Maillot Une Pièce Rayé Rouge","3","0.03%","3","0.03%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06VTF2QKS","B01IOEHM40","Summer Mae Femme Maillot De Bain Amincissant - Maillot Une Pièce Rayé Noir","5","0.06%","5","0.04%","40%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06VTF2QKS","B01IOEHNK8","Summer Mae Femme Maillot De Bain Amincissant - Maillot Une Pièce Rayé Rouge","0","0.00%","0","0.00%","0%","1","0","0.00%","0.00%","€18.99","€0.00","1","0"
"B06VTF2QKS","B01IOEHO7A","Summer Mae Femme Maillot De Bain Amincissant - Maillot Une Pièce Rayé Noir","1","0.01%","4","0.04%","100%","2","0","200.00%","0.00%","€41.98","€0.00","2","0"
"B06VTF2QKS","B01IOEHRBS","Summer Mae Femme Maillot De Bain Amincissant - Maillot Une Pièce Rayé Rouge","1","0.01%","1","0.01%","100%","2","0","200.00%","0.00%","€37.98","€0.00","2","0"
"B06WV8SYYX","B01J71HTJM","Summer Mae Femme Maillot Duex Pièces Amincissant Tankini Uni","0","0.00%","0","0.00%","0%","1","0","0.00%","0.00%","€21.98","€0.00","1","0"
"B06WD25VDK","B01KO0S9JO","Summer Mae Femme A-ligne Robe Unie Décontractée En Manches Longues De Dentelles XS Blanc","1","0.01%","1","0.01%","0%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06WD25VDK","B01KO0SAIE","Summer Mae Femme A-ligne Robe Unie Décontractée En Manches Longues De Dentelles S Noir","1","0.01%","1","0.01%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06WD25VDK","B01KO0SBKQ","Summer Mae Femme A-ligne Robe Unie Décontractée En Manches Longues De Dentelles M Blanc","2","0.02%","3","0.03%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06WD25VDK","B01KO0SCAA","Summer Mae Femme A-ligne Robe Unie Décontractée En Manches Longues De Dentelles L Noir","1","0.01%","1","0.01%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06WD25VDK","B01KO0SCQE","Summer Mae Femme A-ligne Robe Unie Décontractée En Manches Longues De Dentelles L Blanc","2","0.02%","3","0.03%","0%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06WD25VDK","B01KO0SDZY","Summer Mae Femme A-ligne Robe Unie Décontractée En Manches Longues De Dentelles XL Blanc","1","0.01%","1","0.01%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06WD25VDK","B01LAURFZ6","Summer Mae Femme A-ligne Robe Unie Décontractée En Manches Longues De Dentelles XXL Pourpre","1","0.01%","1","0.01%","0%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06WD25VDK","B01LAURHU4","Summer Mae Femme A-ligne Robe Unie Décontractée En Manches Longues De Dentelles XXL Noir","1","0.01%","1","0.01%","0%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06WD25VDK","B01LAURKNS","Summer Mae Femme A-ligne Robe Unie Décontractée En Manches Longues De Dentelles XXL Blanc","2","0.02%","3","0.03%","67%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
