Merchant SKU	Fulfillment Network SKU	ASIN	Title	Condition	Price	MFN Listing Exists	MFN Fulfillable Qty	AFN Listing Exists	AFN Warehouse Qty	AFN Fulfillable Qty	AFN Unsellable Qty	AFN Encumbered Qty	AFN Total Qty	Volume	AFN Inbound Working Qty	AFN Inbound Shipped Qty	AFN Inbound Receiving Qty
BX-PUHM000-OR-2XL	X001STM6AF	B077GTTW6F	luciphia Winter Dog Pet Vest Coat Waterproof Jacket With Zipper Orange 2XL	New	12.00	No		Yes	0	0	0	0	0	0.02	0	0	0
BX-PUHM000-OR-3XL	X001SU6MPT	B077GVFQ2V	luciphia Winter Dog Pet Vest Coat Waterproof Jacket With Zipper Orange 3XL	New	12.00	No		Yes	0	0	0	0	0	0.02	0	0	0
BX-PUHM000-OR-4XL	X001SU6NA3	B077GTT4DB	luciphia Winter Dog Pet Vest Coat Waterproof Jacket With Zipper Orange 4XL	New	12.00	No		Yes	0	0	0	0	0	0.02	0	0	0
BX-PUHM000-OR-5XL	X001SU8H1V	B077GTB515	luciphia Winter Dog Pet Vest Coat Waterproof Jacket With Zipper Orange 5XL	New	12.00	No		Yes	0	0	0	0	0	0.02	0	0	0
BX-PUHM000-OR-L	X001SU4LRP	B077GSTK1N	luciphia Winter Dog Pet Vest Coat Waterproof Jacket With Zipper Orange L	New	12.00	No		Yes	0	0	0	0	0	0.02	0	0	0
BX-PUHM000-OR-M	X001SU4NFZ	B077GTHYN3	luciphia Winter Dog Pet Vest Coat Waterproof Jacket With Zipper Orange M	New	12.00	No		Yes	0	0	0	0	0	0.02	0	0	0
BX-PUHM000-OR-S	X001STM6HD	B077GTPRNJ	luciphia Winter Dog Pet Vest Coat Waterproof Jacket With Zipper Orange S	New	12.00	No		Yes	0	0	0	0	0	0.02	0	0	0
BX-PUHM000-OR-XL	X001SU74H9	B077GWG4J3	luciphia Winter Dog Pet Vest Coat Waterproof Jacket With Zipper Orange XL	New	12.00	No		Yes	0	0	0	0	0	0.02	0	0	0
BX-PUHM000-P0-2XL	X001STQKSJ	B077GTQ56H	luciphia Winter Dog Pet Vest Coat Waterproof Jacket With Zipper Purple 2XL	New	12.00	No		Yes	0	0	0	0	0	0.02	0	0	0
BX-PUHM000-P0-3XL	X001STM353	B077GVTVC3	luciphia Winter Dog Pet Vest Coat Waterproof Jacket With Zipper Purple 3XL	New	12.00	No		Yes	0	0	0	0	0	0.02	0	0	0
BX-PUHM000-P0-4XL	X001SU8865	B077GTDGCX	luciphia Winter Dog Pet Vest Coat Waterproof Jacket With Zipper Purple 4XL	New	12.00	No		Yes	0	0	0	0	0	0.02	0	0	0
BX-PUHM000-P0-5XL	X001STM6E1	B077GT9Y32	luciphia Winter Dog Pet Vest Coat Waterproof Jacket With Zipper Purple 5XL	New	12.00	No		Yes	0	0	0	0	0	0.02	0	0	0
BX-PUHM000-P0-L	X001STQJOT	B077GV55BL	luciphia Winter Dog Pet Vest Coat Waterproof Jacket With Zipper Purple L	New	12.00	No		Yes	0	0	0	0	0	0.08	0	0	0
BX-PUHM000-P0-M	X001SU74J7	B077GTMLLQ	luciphia Winter Dog Pet Vest Coat Waterproof Jacket With Zipper Purple M	New	12.00	No		Yes	0	0	0	0	0	0.15	0	0	0
BX-PUHM000-P0-S	X001STM6EB	B077GVH6DL	luciphia Winter Dog Pet Vest Coat Waterproof Jacket With Zipper Purple S	New	12.00	No		Yes	0	0	0	0	0	0.06	0	0	0
BX-PUHM000-P0-XL	X001STQJET	B077GV5S1X	luciphia Winter Dog Pet Vest Coat Waterproof Jacket With Zipper Purple XL	New	12.00	No		Yes	0	0	0	0	0	0.09	0	0	0
BX-PUHM000-PI-2XL	X001SU8GZX	B077GTR5GP	luciphia Winter Dog Pet Vest Coat Waterproof Jacket With Zipper Pink 2XL	New	12.00	No		Yes	0	0	0	0	0	0.02	0	0	0
