Merchant SKU	Fulfilment Network SKU	ASIN	Title	Condition	Price	MFN Listing Exists	MFN Fulfillable Qty	AFN Listing Exists	AFN Warehouse Qty	AFN Fulfillable Qty	AFN Unsellable Qty	AFN Encumbered Qty	AFN Total Qty	Volume	AFN Inbound Working Qty	AFN Inbound Shipped Qty	AFN Inbound Receiving Qty
CA-HM1789-W0-L	X001HGHBBD	B06XXFPXMZ	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	New	14.99	No		Yes	29	29	0	0	29	752.33	0	0	0
CA-HM1789-W0-M	X001F9Q5NH	B06XWVQKJC	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	New	14.99	No		Yes	6	3	1	2	6	752.33	0	0	0
CA-HM1789-W0-S	X001GDCIPB	B06XXCD9RY	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	New	14.99	No		Yes	9	8	1	0	9	752.33	0	0	0
CA-HM1789-W0-XL	X001FX0XVX	B06XXD8SKQ	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	New	14.99	No		Yes	13	13	0	0	13	752.33	0	0	0
CA-HM1789-ZL-2XL	X001DNO0FF	B06XXF7D82	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	New	15.99	No		Yes	22	19	3	0	22	752.33	0	0	0
CA-HM1789-ZL-L	X001DTI9NX	B06XXCZS9G	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	New	15.99	No		Yes	14	11	2	1	14	752.33	0	0	0
CA-HM1789-ZL-M	X001DNU84H	B06XWZJ94M	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	New	15.99	No		Yes	21	16	3	2	21	752.33	0	0	0
CA-HM1789-ZL-S	X001DO6949	B06XXF89VM	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	New	15.99	No		Yes	21	20	0	1	21	752.33	0	0	0
CA-HM1789-ZL-XL	X001DTGZD9	B06XXDTLKL	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	New	15.99	No		Yes	21	21	0	0	21	752.33	0	0	0
CA-LYQ2015FB	X001OH4G8L	B06XZ48M2X	MiYang Women's V-Neck Hot Drilling Wrinkle Long Beach Dress	New	29.99	No		Yes	2	2	0	0	2	2218.32	0	0	0
CA-LYQ2015G0	X001OJ5UZH	B06XYZQ5HH	MiYang Women's V-Neck Hot Drilling Wrinkle Long Beach Dress	New	29.99	No		Yes	2	2	0	0	2	2218.32	0	0	0
CA-LYQ2015K0	X001O8SFN7	B06XZ3CHRY	MiYang Women's V-Neck Hot Drilling Wrinkle Long Beach Dress	New	29.99	No		Yes	2	2	0	0	2	2218.32	0	0	0
CA-LYQ2015P0	X001OJ18YT	B06XYSFCJV	MiYang Women's V-Neck Hot Drilling Wrinkle Long Beach Dress	New	29.99	No		Yes	1	1	0	0	1	2218.32	0	0	0
CA-LYQ2015R0	X001OJ4OMR	B06XZ46385	MiYang Women's V-Neck Hot Drilling Wrinkle Long Beach Dress	New	29.99	No		Yes	0	0	0	0	0	2218.32	0	0	0
