snapshot-date	sku	fnsku	ASIN	product-name	condition	avaliable-quantity(sellable)	qty-with-removals-in-progress	inv-age-0-to-90-days	inv-age-91-to-180-days	inv-age-181-to-270-days	inv-age-271-to-365-days	inv-age-365-plus-days	currency	qty-to-be-charged-ltsf-6-mo	projected-ltsf-6-mo	qty-to-be-charged-ltsf-12-mo	projected-ltsf-12-mo	units-shipped-last-7-days	units-shipped-last-30-days	units-shipped-last-60-days	units-shipped-last-90-days	alert	your-price	sales_price	lowest-price-new	lowest-price-used	Recommended action
2018-08-24	PA-MC0717-GR-S	X001UMVGF1	B07G2ZSS5M	MiYang Women's Yoga Palazzo Pants Wide Leg Loose Floral Print Drawstring	New	1	0	1	0	0	0	0	CAD	1	1.19	0	0.0	0	1	1	1		19.99	19.99	19.99	0.0	Lower price
2018-08-24	YZ-NA1521-GF-2XL	X001GD4WWD	B06X9P1QZK	MiYang Women's One Piece Bathing Suit Tankini Swimdress Cover up Swimsuit	New	2	0	2	0	0	0	0	CAD	2	2.82	0	0.0	0	0	1	2	Low conversion	29.99	29.99	29.99	0.0	Lower price
2018-08-24	DK-MCCL315-B7-L	X001QAR0EN	B07BGR6MLZ	High-Waisted Strappy Side Casual Bikini Bottoms Sky Blue US 10	New	1	0	1	0	0	0	0	CAD	1	0.47	0	0.0	0	0	0	1	Low conversion	16.99	16.99	16.99	0.0	Lower price
2018-08-24	YZ-MCXZHB8995-PI-M	X001U4AMEZ	B07FLTG8NQ	Women's Push up Floral Bikini Set with Laces and a Halter Cut	New	2	0	2	0	0	0	0	CAD	2	1.27	0	0.0	0	0	0	0	Low traffic	19.99	19.99	19.99	0.0	Advertise listing
2018-08-24	YZ-MCHM241-G0-S	X001QZNRLX	B07C3GTFTB	MiYang Halter Neck Wrap One Piece Padded Tankini Swimsuit Monokini Swimwear for Women	New	3	0	2	1	0	0	0	CAD	3	3.84	0	0.0	0	0	0	0	Low conversion	18.99	18.99	18.99	0.0	Lower price
2018-08-24	YZ-MCZQL03-R2-3XL	X001TV6JHN	B07F9P9CYY	MiYang Women's Black Mesh One Piece Vintage Swimsuit Tank Swimwear	New	3	0	3	0	0	0	0	CAD	3	2.83	0	0.0	0	1	1	1		25.99	25.99	25.99	0.0	Lower price
2018-08-24	SJ-NA204-G0-XS	X001FCM2KJ	B010SPP3UI	MiYang Women's Floral Lace Beach Bikini Swimwear Cover-up, Green, X-Small(US Size 0-2)	New	2	0	0	0	0	1	1	CAD	0	0.0	2	0.8	0	1	1	1		26.99	26.99	26.99	0.0	Lower price
2018-08-24	YZ-MCBK187-OR-2XL	X001T4ZWH3	B07C8H4JLX	Bikini Sets Sport Swimsuit Low Scoop Crop Top High Waisted High Cut Cheeky Bottom	New	5	0	5	0	0	0	0	CAD	0	0.0	0	0.0	0	0	0	0	Low conversion	29.99	29.99	29.99	0.0	Lower price
2018-08-24	YZ-NA13037EZ7L	X001JSESKL	B01N64GDNS	MiYang Women's Shaping Body Swimsuit One-Piece Swimwear Spa Suit Size tag 3XL/UK size L,Blue and Green	New	1	0	1	0	0	0	0	CAD	0	0.0	0	0.0	0	3	5	6		32.99	32.99	32.99	0.0	Lower price
2018-08-24	YZ-MCXZPW2038-K0-XL	X001TZOZV1	B07FDSZVQF	Women's Triangle Halter Bikini Set Push up Crochet Swimwear	New	4	0	4	0	0	0	0	CAD	4	1.59	0	0.0	0	0	0	0	Low conversion	19.99	19.99	19.99	0.0	Lower price
2018-08-24	PA-MC0717-B0-S	X001UMWOLB	B07G31RQSY	MiYang Women's Yoga Palazzo Pants Wide Leg Loose Floral Print Drawstring	New	2	0	2	0	0	0	0	CAD	2	2.37	0	0.0	0	0	0	0	Low conversion	19.99	19.99	19.99	0.0	Lower price
2018-08-24	XZ-MC0801-PI-3637	X001UMOJTB	B07G369XGL	MiYang Women Cute Animal Slippers Cozy Fleece Warm House Indoor	New	2	0	2	0	0	0	0	CAD	2	0.06	0	0.0	0	0	0	0	Low conversion	15.99	15.99	15.99	0.0	Lower price
2018-08-24	YZ-MCLK185-K0-M	X001SXFZGN	B07BC4YFCB	MiYang Women's Halter High Waisted Cut Out One Piece Swimsuit Backless Bathing Suit Black M	New	3	0	3	0	0	0	0	CAD	3	2.55	0	0.0	0	0	2	2	Low conversion	25.99	25.99	25.99	0.0	Lower price
2018-08-24	YZ-MC666-HB-L	X001PL9WUD	B01D42EBLO	MiYang Womens Cross Double Colored Padded Push Up Halter Bikini Swimsuit White US 12-14	New	1	0	0	1	0	0	0	CAD	1	1.19	0	0.0	0	1	1	1	Low conversion	18.99	18.99	18.99	0.0	Lower price
2018-08-24	LYQ-NA1010-Z0-XL	X001F1LI5P	B01N7BWCPD	MiYang Women's Long Sleeve A-line Lace Stitching Trim Casual Dress XL Violet	New	7	0	0	3	4	0	0	CAD	3	1.81	4	4.82	0	0	0	0	Low conversion	21.99	21.99	21.99	0.0	Lower price
2018-08-24	LYQ-NA1010-N0-XS	X001EAE8TZ	B01M22DUD3	MiYang Women's Long Sleeve A-line Lace Stitching Trim Casual Dress XS Brown	New	10	0	0	0	5	5	0	CAD	0	0.0	10	12.05	0	0	0	0	Low conversion	21.99	21.99	21.99	0.0	Lower price
2018-08-24	YZ-MCYF183-TW-S	X001QHA881	B07BQRQ22Y	MiYang Striped Maternity Tankini Halter Pregnancy Swimsuit Two Piece S Black and Blue	New	2	0	2	0	0	0	0	CAD	2	3.75	0	0.0	0	0	1	1	Low conversion	29.99	29.99	29.99	0.0	Lower price
2018-08-24	YZ-MC5119-ZLSY-M	X001Q5QFW1	B07BHJCSG3	MiYang Women's Plus-Size Shaping Body One Piece Swim Dresses Swimsuit Leaves Print M	New	6	0	6	0	0	0	0	CAD	6	7.9	0	0.0	1	2	7	8	Low conversion	35.99	35.99	35.99	0.0	Lower price
2018-08-24	YZ-NA1521-KF-XL	X001GD4X5J	B06X9GM1TS	MiYang Women's One Piece Bathing Suit Tankini Swimdress Cover Up Swimsuit XL	New	2	0	2	0	0	0	0	CAD	2	5.8	0	0.0	0	0	1	1	Low conversion	29.99	29.99	29.99	0.0	Lower price
2018-08-24	YZ-NA13037EZ8L	X001F1LDKP	B01MQJOVR2	MiYang Women's Shaping Body Swimsuit One-Piece Swimwear Spa Suit Size tag 4XL/UK size XL,Blue and Green	New	8	0	8	0	0	0	0	CAD	8	10.79	0	0.0	0	0	4	5	Low conversion	32.99	32.99	32.99	0.0	Lower price
2018-08-24	LYQ-MCTW03-K0-XXL	X001PYBBOZ	B0761Q9QJD	MiYang Women's Long Sleeve Striped Floral Tunic T-Shirt Dress A-line Trim Casual Dress Black Striped XXL	New	2	0	0	2	0	0	0	CAD	2	2.44	0	0.0	0	0	0	0	Low conversion	25.99	25.99	25.99	0.0	Lower price
2018-08-24	LYQ-MCTW03-B0-S	X001PZNKDJ	B0761M3L7V	MiYang Women's Long Sleeve Striped Floral Tunic T-shirt Dress A-line Trim Casual Dress Blue Striped S	New	2	0	0	2	0	0	0	CAD	2	2.44	0	0.0	0	0	0	0	Low conversion	25.99	25.99	25.99	0.0	Lower price
2018-08-24	YZ-MCZQ161-KH-M	X001OE6K1F	B0791Y9KTC	MiYang 50s Elegant Inspired Retro Vintage One Piece Pin Up Monokinis Swimsuit	New	2	0	2	0	0	0	0	CAD	2	2.35	0	0.0	0	0	1	2	Low conversion	19.99	19.99	19.99	0.0	Lower price
2018-08-24	YZ-MCHY025-OR-S	X001T65S3T	B07CNHWLW7	Women One Piece V-Neck Flounce Swimsuit Retro Cross Back Bikini	New	2	0	2	0	0	0	0	CAD	2	1.4	0	0.0	0	0	0	0	Low traffic	29.99	29.99	29.99	0.0	Advertise listing
2018-08-24	YZ-MCYF184-B0-S	X001QHAB1Z	B07BQS7TPW	Halter Maternity Tankini Tie-dye Striped Swimsuit Two Piece Set Navy Small	New	8	0	8	0	0	0	0	CAD	8	11.63	0	0.0	1	2	7	9	Low conversion	29.99	29.99	29.99	0.0	Lower price
2018-08-24	CS-MCCL031-R0-XL	X001OQ0TIX	B079BP4MD1	Men's Long Sleeve Plaid Flannel Button Down Casual Shirts Red XL	New	1	0	0	0	1	0	0	CAD	0	0.0	1	4.78	0	0	0	1	Low conversion	29.99	29.99	29.99	0.0	Edit listing
