Merchant SKU	Fulfillment Network SKU	ASIN	Title	Condition	Price	MFN Listing Exists	MFN Fulfillable Qty	AFN Listing Exists	AFN Warehouse Qty	AFN Fulfillable Qty	AFN Unsellable Qty	AFN Encumbered Qty	AFN Total Qty	Volume	AFN Inbound Working Qty	AFN Inbound Shipped Qty	AFN Inbound Receiving Qty
DO-YULQ372-R0-22	X001QM1BE1	B07BSC5Q33		Unknown					0	0	0	0	0		0	0	0
DO-YULQ504-PI-22	X001TRO4L5	B07F71667Y	Yesteria Realistic Reborn Baby Doll Girl Newborn Toddler Pink Princess Dress 24 inches	New	256.00	No		Yes	1	1	0	0	4	1.01	0	3	0
DO-YULQ507-PI-24	X001TYQ88P	B07FD9B9Q1	Full Silicone Body Realistic Reborn Baby Doll Girl Pink Outfit with Toy Rabbit 24 Inches	New	178.00	No		Yes	2	2	0	0	2	0.98	0	0	0
DO-YULQ516-B0-22	X001Q1UFS5	B07BFVWCV4	Realistic Reborn Baby Dolls Boy Toddler Blue Outfit with Rhino Patterns 22 inches	New	179.00	No		Yes	5	5	0	0	5	2.25	0	0	0
DO-YULQ604-PI-22	X001PQ4HKN	B078XB1WC9	Silicone Reborn Baby Dolls Girl Look Real Eye Closed Pink Outfit 22 inches	New	256.00	No		Yes	21	20	0	1	21	0.36	0	0	0
DO-YULQ606-W0-22	X001QM1BCD	B07BSFP5QZ		Unknown					0	0	0	0	0		0	0	0
DO-YULQ610-R2-22	X001P1VIYV	B0793RW7P4	Real Looking Reborn Baby Dolls Girl Silicone Rose Red Outfit 22 Inches	New	89.99	No		Yes	7	6	0	1	7	0.5	0	0	0
DO-YULQ611-TW-22	X001OXEIID	B0793RG3PM	Real Life Silicone Reborn Baby Dolls Boy Look Real Striped Jumpsuit 22 Inches	New	85.99	No		Yes	4	4	0	0	4	0.4	0	0	0
DO-YULQ620-NZ-22	X001OVDBZ1	B079JXQJSM	Silicone Reborn Baby Dolls Girl Look Real Denim Dress 22 Inches	New	256.00	No		Yes	4	0	0	4	7	0.06	0	3	0
DO-YULQ620-PI-22	X001OVKEOR	B079JQDDN7	Silicone Reborn Baby Dolls Girl Look Real Eye Closed Pink Outfit 22 Inches	New	256.00	No		Yes	7	3	0	4	12	0.6	0	5	0
DO-YULQ630-R2-15	X001PSVDCV	B0794XFL8V	Sleeping Reborn Baby Doll Girl Look Real Silicone Rose Red Outfit with Cow Pattern 15 inches	New	168.00	No		Yes	17	17	0	0	17	0.62	0	0	0
DO-YULQ631-R2-22	X001QMC0KP	B07BSHY6ZL	Full Silicone Body Sleeping Reborn Baby Dolls Girl Lifelike Toddler Rose Red Outfit 22 inches	New	256.00	No		Yes	9	8	1	0	9	0.32	0	0	0
DO-YULQ638-LGR-20	X001PSQOZR	B07B7G22RT	Yesteria Full Silicone Body Reborn Baby Dolls Boy Look Real Light Blue Outfit 18 inches	New	99.60	No		Yes	39	34	0	5	39	0.48	0	0	0
