"(父） ASIN","（子）ASIN","商品名称","买家访问次数","买家访问次数百分比","页面浏览次数","页面浏览次数百分比","购买按钮赢得率","已订购商品数量","订单商品数量转化率","已订购商品销售额","订单商品种类数"
"B07DRG8FF1","B01N98BUDE","MiYang Women's Plus Size Ruffled One Piece Tankini Printed-Hem Ruffled Swim Dress","2","0.02%","2","0.02%","50%","0","0.00%","CAD0.00","0"
"B07DRG8FF1","B01N98BUDH","MiYang Women's Plus Size Ruffled One Piece Tankini Printed-Hem Ruffled Swim Dress","1","0.01%","1","0.01%","100%","0","0.00%","CAD0.00","0"
"B01LX2T9AR","B01N9K3ZDT","MiYang Women's Floral Lace Beach Bikini Cover-up Navy blue XL","3","0.04%","4","0.04%","100%","0","0.00%","CAD0.00","0"
"B01N9T4PYF","B01N9T4PYF","One Piece Swimsuit High Neck V-Neckline Mesh Ruched Monokini Swinwear","177","2.07%","247","2.31%","0%","0","0.00%","CAD0.00","0"
"B01M4LAA8J","B01NA6JJLM","MiYang Women's Shaping Body Swimsuit One-Piece Swimwear Spa Suit Size tag 2XL/UK size M,Purple","16","0.19%","18","0.17%","100%","0","0.00%","CAD0.00","0"
"B07DRG8FF1","B01NCACZ4V","MiYang Women's Plus Size Ruffled One Piece Tankini Printed-Hem Ruffled Swim Dress","1","0.01%","2","0.02%","100%","0","0.00%","CAD0.00","0"
"B07DRG8FF1","B01NCB9AGE","MiYang Women's Plus Size Ruffled One Piece Tankini Printed-Hem Ruffled Swim Dress","0","0.00%","0","0.00%","0%","0","0.00%","CAD0.00","0"
"B01M256ILK","B01NCE22FH","MiYang Women's Long Sleeve A-line Lace Stitching Trim Casual Dress L Violet","3","0.04%","3","0.03%","100%","0","0.00%","CAD0.00","0"
"B06Y2Y9VT6","B01NCIBC55","MiYang Women's Tankini Striped Vintage Swim Dress","24","0.28%","30","0.28%","100%","0","0.00%","CAD0.00","0"
"B01M6WKAND","B06W5K562C","MiYang Vintage Sailor Pin Up Swimsuit One Piece Skirtini Cover Up Swimdress US8 Black","1","0.01%","1","0.01%","100%","0","0.00%","CAD0.00","0"
"B01M6WKAND","B06W9P6JZT","MiYang Vintage Sailor Pin Up Swimsuit One Piece Skirtini Cover Up Swimdress S Black","5","0.06%","5","0.05%","60%","0","0.00%","CAD0.00","0"
"B01N9T4PYF","B06WWLKZQY","MiYang Women's One Piece Bathing Suit Tankini Swimdress Cover Up Swimsuit 2XL","20","0.23%","36","0.34%","89%","0","0.00%","CAD0.00","0"
"B01N9T4PYF","B06WWLKZRB","MiYang Women's One Piece Bathing Suit Tankini Swimdress Cover Up Swimsuit 3XL","6","0.07%","8","0.07%","75%","0","0.00%","CAD0.00","0"
"B01N9T4PYF","B06X9FQ4JW","MiYang Women's One Piece Bathing Suit Tankini Swimdress Cover Up Swimsuit XL","11","0.13%","11","0.10%","64%","0","0.00%","CAD0.00","0"
"B01N9T4PYF","B06X9G7C3F","MiYang Women's One Piece Bathing Suit Tankini Swimdress Cover up Swimsuit","7","0.08%","7","0.07%","14%","0","0.00%","CAD0.00","0"
"B01N9T4PYF","B06X9GM1TS","MiYang Women's One Piece Bathing Suit Tankini Swimdress Cover Up Swimsuit XL","13","0.15%","13","0.12%","46%","0","0.00%","CAD0.00","0"
"B01N9T4PYF","B06X9GNHK9","MiYang Women's One Piece Bathing Suit Tankini Swimdress Cover up Swimsuit","26","0.30%","28","0.26%","82%","0","0.00%","CAD0.00","0"
"B01N9T4PYF","B06X9GSQGC","MiYang Women's One Piece Bathing Suit Tankini Swimdress Cover Up Swimsuit XL","10","0.12%","12","0.11%","42%","0","0.00%","CAD0.00","0"
