"(父） ASIN","（子）ASIN","商品名称","买家访问次数","买家访问次数百分比","页面浏览次数","页面浏览次数百分比","购买按钮赢得率","已订购商品数量","订购数量 – B2B","订单商品数量转化率","商品转化率 – B2B","已订购商品销售额","已订购商品的销售额 – B2B","订单商品种类数","订单商品总数 – B2B"
"B00G71LV3Q","B00G71LV3Q","Premier By Dead Sea Premier Refining Facial Peeling Mask 2.04oz, 60ml","260","3.87%","368","4.19%","13%","3","0","1.15%","0.00%","US$140.97","US$0.00","3","0"
"B01G3AIYJO","B01G3AIYJO","Gratiae Organic Beauty By Nature Exfoliating Body Scrub, Apple/Green Tea and Ginger by Gratiae Organic Beauty By Nature","66","0.98%","103","1.17%","84%","5","0","7.58%","0.00%","US$126.95","US$0.00","4","0"
"B07DPGL987","B01G3AIYJO","Gratiae Organic Beauty By Nature Exfoliating Body Scrub, Apple/Green Tea and Ginger by Gratiae Organic Beauty By Nature","25","0.37%","29","0.33%","97%","1","0","4.00%","0.00%","US$17.99","US$0.00","1","0"
"B01JSONMH6","B01JSONMH6","Gratiae Organic Beauty Renewing Peeling Gel","194","2.89%","263","2.99%","54%","5","0","2.58%","0.00%","US$245.48","US$0.00","5","0"
"B0761NM3BZ","B0761MXCJB","ZAIAI Women's Quilted Puffer Jacket Coat with Faux Fur Trimmed Hood Navy S","12","0.18%","12","0.14%","17%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761MXYJC","B0761MXCJB","ZAIAI Women's Quilted Puffer Jacket Coat with Faux Fur Trimmed Hood Navy S","1","0.01%","1","0.01%","0%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761MXYJC","B0761MXYJC","","6","0.09%","6","0.07%","0%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761S4G52","B0761N286T","ZAIAI Women's Parka Winter Coat Overcoat Long Down Jacket Outwear Navy S","7","0.10%","9","0.10%","89%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761NM3BZ","B0761N286T","ZAIAI Women's Parka Winter Coat Overcoat Long Down Jacket Outwear Navy S","24","0.36%","27","0.31%","56%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761NM3BZ","B0761N3HJ3","Womens Hooded Warm Winter Faux Fur Lined Parkas Anoraks Long Coats Black XL","12","0.18%","13","0.15%","85%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761Q1QWN","B0761N3HJ3","Womens Hooded Warm Winter Faux Fur Lined Parkas Anoraks Long Coats Black XL","4","0.06%","6","0.07%","17%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761NM3BZ","B0761N46BN","ZAIAI Women's Coat with Fur Hood with 90% Down Parka Puffer Jacket Beige XL","9","0.13%","9","0.10%","22%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761MXYJC","B0761N46BN","ZAIAI Women's Coat with Fur Hood with 90% Down Parka Puffer Jacket Beige XL","3","0.04%","4","0.05%","100%","2","0","66.67%","0.00%","US$68.78","US$0.00","2","0"
"B0761NM3BZ","B0761NFQMT","ZAIAI Women's Anorak Parka Coat Silver Gray","13","0.19%","15","0.17%","0%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761MXYJC","B0761NFTQC","ZAIAI Women's Coat with Fur Hood with 90% Down Parka Puffer Jacket Beige M","2","0.03%","4","0.05%","25%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761NM3BZ","B0761NFTQC","ZAIAI Women's Coat with Fur Hood with 90% Down Parka Puffer Jacket Beige M","12","0.18%","12","0.14%","50%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761NM3BZ","B0761NG4W8","ZAIAI Women's Parka Winter Coat Overcoat Long Down Jacket Outwear Navy XL","8","0.12%","11","0.13%","91%","1","0","12.50%","0.00%","US$42.99","US$0.00","1","0"
"B0761S4G52","B0761NG4W8","ZAIAI Women's Parka Winter Coat Overcoat Long Down Jacket Outwear Navy XL","10","0.15%","10","0.11%","90%","2","0","20.00%","0.00%","US$85.98","US$0.00","2","0"
"B0761MXYJC","B0761NGWJD","ZAIAI Women's Coat with Fur Hood with 90% Down Parka Puffer Jacket Black L","9","0.13%","9","0.10%","0%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761NM3BZ","B0761NGWJD","ZAIAI Women's Coat with Fur Hood with 90% Down Parka Puffer Jacket Black L","18","0.27%","20","0.23%","10%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
