Merchant SKU	Fulfillment Network SKU	ASIN	Title	Reserved Quantity	Reserved - Customer Order	Reserved - FC Transfer	Reserved - FC Processing
XZ-HMXX018-Y0-3637	X0019VZ6L3	B01MA1MR40	Women's Plush Winter Warm Animal Soft Cute Home Slippers Dog 5-6 B(M) US	6	3	1	2
XZ-HMXX018-Y0-3839	X0019VGJUZ	B01M4GEPS6	Women's Plush Winter Warm Animal Soft Cute Home Slippers Dog 7-8 B(M) US	8	3	2	3
XZ-HMXX018-Y0-3940	X0019WY7WB	B01MCRF7GA	Women's Plush Winter Warm Animal Soft Cute Home Slippers Dog 9-10 B(M) US	3	1	0	2
XZ-HMMX360-GR-4041	X0018VVJFV	B01M4GE8GG	Women Animal Sheep House Shoes Indoor/Outdoor Fluffy Boot Slippers (US Size:9-10.5 B(M) US,Grey)	1	0	0	1
XZ-MU6002-GR-1819	X001V4CO3L	B07GJ8BW4T	Unisex Cute Doggy Toddler Kids Slippers for Girls Boys Dark Grey (18/19) 8.5M-10M Todder	1	0	0	1
XZ-MU710-KW-11/12	X001TXGQR9	B07FD6W2CT	Unicorn Open Toe Slippers Animal Bunny Cute Cozy Fleece Cartoon Indoor Home Women White Panda US Size: 11-12	2	1	1	0
XZ-MU6002-G0-1819	X001V4CCFV	B07GJ9TXMC	Unisex Cute Doggy Toddler Kids Slippers for Girls Boys Green (18/19) 8.5M-10M Todder	1	0	0	1
XZ-MU6002-G0-1617	X001V4CCFL	B07GJ9NDZN	Unisex Cute Doggy Toddler Kids Slippers for Girls Boys Green (16/17) 6.5M-8M Todder	2	1	1	0
XZ-MU710-BR-5/6	X001TYA2D7	B07FD6T7H5	Unicorn Open Toe Slippers Animal Bunny Cute Cozy Fleece Cartoon Indoor Home for Women Brown Bunny US Size: 5-6	1	1	0	0
XZ-MU710-BR-9/10	X001TYCHLR	B07FD9NN2Y	Unicorn Open Toe Slippers Animal Bunny Cute Cozy Fleece Cartoon Indoor Home for Women Brown Bunny US Size: 9-10	2	1	1	0
XZ-MU710-BR-7/8	X001TYHVY5	B07FD9KX3R	Unicorn Open Toe Slippers Animal Bunny Cute Cozy Fleece Cartoon Indoor Home for Women Brown Bunny US Size: 7-8	1	0	0	1
XZ-MU710-PI-9/10	X001TXGMUP	B07FJPS5F8	Unicorn Open Toe Slippers Animal Bunny Cute Cozy Fleece Cartoon Indoor Home Women Pink Piggy US Size: 9-10	1	0	0	1
XZ-MUS054-PI-S	X001UFB8QZ	B07FSLF3QF	Toddler Girls' Warm Slipper Winter House Cartoon Piggy Pink 5-6 M US Toddler	1	1	0	0
XZ-MUS055-BE-L	X001UBYH67	B07FSLL43C	Toddler Unisexs Slipper Winter Premium Soft Plush Warm Winter Doggy Beige 9-10 M US Toddler	1	0	0	1
XZ-YG7223Co4243	X000XCK9XJ	B018Z5D9QS	Winter Vintage Boot Slippers Arctic Solid Indoor Coffee 10 B(M) US	1	0	0	1
