sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity
LYQ-MUCL628-E0-L	X001QQGV5V	B07CB4G7TY	MiYang Short Sleeve Cold Shoulder T-Shirt Dress Solid Color Tunics with Pockets for Women Grey L (US8-10)	New	13.99	No		Yes	0	0	0	0	0	0.05	0	0	0
LYQ-MUCL628-E0-M	X001QQGV1P	B07BWB2NSM	Short Sleeve Cold Shoulder T-Shirt Dress Solid Color Tunics with Pockets for Women Grey M (US4-6)	New	13.99	No		Yes	3	3	0	0	3	0.05	0	0	0
LYQ-MUCL628-E0-S	X001QQZZ3Z	B07BWC2Z33	MiYang Short Sleeve Cold Shoulder T-Shirt Dress Solid Color Tunics with Pockets for Women Grey S (US0-2)	New	13.99	No		Yes	5	5	0	0	5	0.05	0	0	0
LYQ-MUCL628-E0-XL	X001QR4OGX	B07BWFT1FW	MiYang Short Sleeve Cold Shoulder T-Shirt Dress Solid Color Tunics with Pockets for Women Grey XL (US12-14)	New	13.99	No		Yes	4	4	0	0	4	0.05	0	0	0
LYQ-MUCL628-G0-M	X001QQZZ49	B07BWD8X2V	Short Sleeve Cold Shoulder T-Shirt Dress Solid Color Tunics with Pockets for Women Green M (US4-6)	New	13.99	No		Yes	0	0	0	0	0	0	0	0	0
LYQ-MUCL628-G0-S	X001QR3F8V	B07BWBJVB6	MiYang Short Sleeve Cold Shoulder T-Shirt Dress Solid Color Tunics with Pockets for Women Green S (US0-2)	New	13.99	No		Yes	0	0	0	0	0	0.05	0	0	0
LYQ-MUCL628-G7-L	X001QR6TIJ	B07BWF7M3X	MiYang Short Sleeve Cold Shoulder T-Shirt Dress Solid Color Tunics with Pockets for Women Army Green L (US8-10)	New	13.99	No		Yes	0	0	0	0	0	0.05	0	0	0
LYQ-MUCL628-G7-M	X001QR87XJ	B07BWH154B	Short Sleeve Cold Shoulder T-Shirt Dress Solid Color Tunics with Pockets for Women Army Green M (US4-6)	New	13.99	No		Yes	2	2	0	0	2	0.05	0	0	0
LYQ-MUCL628-G7-S	X001QR4ORR	B07BWB2C72	MiYang Short Sleeve Cold Shoulder T-Shirt Dress Solid Color Tunics with Pockets for Women Army Green S (US0-2)	New	13.99	No		Yes	3	3	0	0	3	0.05	0	0	0
LYQ-MUCL628-G7-XL	X001QQZZ4J	B07BW8N1S6	MiYang Short Sleeve Cold Shoulder T-Shirt Dress Solid Color Tunics with Pockets for Women Army Green XL (US12-14)	New	13.99	No		Yes	1	1	0	0	1	0.05	0	0	0
