amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation 
S01-3993823-2414654	B074SNP44C	2018-08-14T12:23:32+00:00	2018-08-17T07:23:33+00:00	Shipped	Amazon	Non-Amazon			Standard	Men's Long Sleeve Formal Business Dress Shirts Blue X-Large	ST172-BL-XL	B074SNP44C	Unshipped	4										Baton Rouge	LA	70808	US		false		
S01-9462627-5043467	B074SZCMCP	2018-08-14T12:22:29+00:00	2018-08-22T03:09:26+00:00	Shipped	Amazon	Non-Amazon			Standard	Men's Long Sleeve Formal Business Dress Shirts Blue Small	ST172-BL-S	B074SZCMCP	Unshipped	11										Baton Rouge	LA	70808	US		false		
S01-9650215-0007460	B074SQ5PJS	2018-08-14T12:21:43+00:00	2018-08-20T19:17:07+00:00	Shipped	Amazon	Non-Amazon			Standard	Men's Long Sleeve Formal Business Dress Shirts Blue XX-Large	ST172-BL-XXL	B074SQ5PJS	Unshipped	5										Baton Rouge	LA	70808	US		false		
S01-8544846-2801038	B074SLPFD9	2018-08-14T12:20:57+00:00	2018-08-21T23:32:32+00:00	Shipped	Amazon	Non-Amazon			Standard	Men's Long Sleeve Formal Business Dress Shirts Gray Large	ST172-GR-L	B074SLPFD9	Unshipped	18										Baton Rouge	LA	70808	US		false		
S01-9633458-4552224	B074T17WTF	2018-08-14T12:20:04+00:00	2018-08-22T03:05:44+00:00	Shipped	Amazon	Non-Amazon			Standard	Men's Long Sleeve Formal Business Dress Shirts Gray Medium	ST172-GR-M	B074T17WTF	Unshipped	14										Baton Rouge	LA	70808	US		false		
S01-3489336-3132243	B074SL7P58	2018-08-14T12:19:20+00:00	2018-08-21T07:19:56+00:00	Shipped	Amazon	Non-Amazon			Standard	Men's Long Sleeve Formal Business Dress Shirts Gray Small	ST172-GR-S	B074SL7P58	Unshipped	18										Baton Rouge	LA	70808	US		false		
S01-7576438-6053849	B074SLTLS9	2018-08-14T12:17:58+00:00	2018-08-22T03:20:16+00:00	Shipped	Amazon	Non-Amazon			Standard	Men's Long Sleeve Formal Business Dress Shirts Gray X-Large	ST172-GR-XL	B074SLTLS9	Unshipped	11										Baton Rouge	LA	70808	US		false		
S01-1081127-8623409	B074SXQ5MY	2018-08-14T12:15:43+00:00	2018-08-22T03:27:59+00:00	Shipped	Amazon	Non-Amazon			Standard	Men's Long Sleeve Formal Business Dress Shirts Gray XX-Large	ST172-GR-XXL	B074SXQ5MY	Unshipped	14										Baton Rouge	LA	70808	US		false		
S01-0275766-1344264	B074SQ1FJK	2018-08-14T12:14:27+00:00	2018-08-21T07:21:47+00:00	Shipped	Amazon	Non-Amazon			Standard	Men's Long Sleeve Formal Business Dress Shirts Navy Large	ST172-NY-L	B074SQ1FJK	Unshipped	14										Baton Rouge	LA	70808	US		false		
S01-3045235-9899419	B074SPWGPS	2018-08-14T12:13:28+00:00	2018-08-21T23:12:08+00:00	Shipped	Amazon	Non-Amazon			Standard	Men's Long Sleeve Formal Business Dress Shirts Navy Medium	ST172-NY-M	B074SPWGPS	Unshipped	14										Baton Rouge	LA	70808	US		false		
S01-7716630-4484202	B074SYY7Q7	2018-08-14T12:11:21+00:00	2018-08-21T23:17:04+00:00	Shipped	Amazon	Non-Amazon			Standard	Men's Long Sleeve Formal Business Dress Shirts Navy Small	ST172-NY-S	B074SYY7Q7	Unshipped	16										Baton Rouge	LA	70808	US		false		
