"(父） ASIN","（子）ASIN","商品名称","买家访问次数","买家访问次数百分比","页面浏览次数","页面浏览次数百分比","购买按钮赢得率","已订购商品数量","订购数量 – B2B","订单商品数量转化率","商品转化率 – B2B","已订购商品销售额","已订购商品的销售额 – B2B","订单商品种类数","订单商品总数 – B2B"
"B076FWKV7V","B01KO0S9JO","Summer Mae Damen A-line Lace Quaste Beiläufigkeit Herbst Kleid Retro-Look, XS (EU 32-34),Weiß","4","0.03%","4","0.03%","75%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B076FWKV7V","B01KO0S9LM","Summer Mae Damen A-line Lace Quaste Beiläufigkeit Herbst Kleid Retro-Look, XS (EU 32-34),Scharz","2","0.02%","3","0.02%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B076FWKV7V","B01KO0SAIE","Summer Mae Damen A-line Lace Quaste Beiläufigkeit Herbst Kleid Retro-Look Dress,S (EU 34-36),Scharz","2","0.02%","2","0.01%","50%","1","0","50.00%","0.00%","€9.90","€0.00","1","0"
"B076FWKV7V","B01KO0SAKM","Summer Mae Damen A-line Lace Quaste Beiläufigkeit Herbst Kleid Retro-Look Dress,S (EU 34-36),Weiß","2","0.02%","2","0.01%","50%","1","0","50.00%","0.00%","€9.90","€0.00","1","0"
"B076FWKV7V","B01KO0SBKQ","Summer Mae Damen A-line Lace Quaste Beiläufigkeit Herbst Kleid Retro-Look Dress,M (EU 36-38),Weiß","1","0.01%","2","0.01%","100%","3","0","300.00%","0.00%","€29.70","€0.00","3","0"
"B076FWKV7V","B01KO0SCAA","Summer Mae Damen A-line Lace Quaste Beiläufigkeit Herbst Kleid Retro-Look Dress,L (EU 38-40),Scharz","5","0.04%","10","0.06%","100%","2","0","40.00%","0.00%","€19.80","€0.00","2","0"
"B076FWKV7V","B01KO0SCQE","Summer Mae Damen A-line Lace Quaste Beiläufigkeit Herbst Kleid Retro-Look Dress,L (EU 38-40),Weiß","1","0.01%","1","0.01%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B076FWKV7V","B01KO0SDBI","Summer Mae Damen A-line Lace Quaste Beiläufigkeit Herbst Kleid Retro-Look Dress,XL (EU 40-42),Scharz","5","0.04%","7","0.04%","100%","2","0","40.00%","0.00%","€19.80","€0.00","2","0"
"B076FWKV7V","B01KO0SDZY","Summer Mae Damen A-line Lace Quaste Beiläufigkeit Herbst Kleid Retro-Look Dress,XL (EU 40-42),Weiß","4","0.03%","6","0.04%","83%","1","0","25.00%","0.00%","€9.90","€0.00","1","0"
"B076FWKV7V","B01LAURFZ6","Summer Mae Damen A-line Lace Quaste Beiläufigkeit Herbst Kleid Retro-Look Dress, XXL (EU 42-44),Dunkellila","2","0.02%","4","0.03%","100%","1","0","50.00%","0.00%","€9.90","€0.00","1","0"
"B076FWKV7V","B01LAURHU4","Summer Mae Damen A-line Lace Quaste Beiläufigkeit Herbst Kleid Retro-Look Dress, XXL (EU 42-44),Scharz","8","0.07%","13","0.08%","0%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B076FWKV7V","B01LAURKNS","Summer Mae Damen A-line Lace Quaste Beiläufigkeit Herbst Kleid Retro-Look Dress, XXL (EU 42-44),Weiß","2","0.02%","4","0.03%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B01LZPDY1X","B01LZ1VBJE","Summer Mae Frauen Retro Wärmeschuhe Solid Hausschuhe Boot Slippers","1","0.01%","1","0.01%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B01LZPDY1X","B01LZ4BQUZ","Summer Mae Frauen Retro Wärmeschuhe Winterschnee Gefüttert Angenehm Slippers Pantoffeln","1","0.01%","1","0.01%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B01LZPDY1X","B01LZDHMA7","Summer Mae Frauen Retro Wärmeschuhe Solid Hausschuhe Boot Slippers","1","0.01%","1","0.01%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B01M3XLHCA","B01LZPAU53","Summer Mae Damen Pantoffel Schaf Warm Plüsch Weich Slipper Tierhausschuhe Pink","1","0.01%","1","0.01%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B01LZPDY1X","B01LZPDY1X","Summer Mae Frauen Retro Wärmeschuhe Solid Hausschuhe Boot Slippers","2","0.02%","4","0.03%","50%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B01M3XLHCA","B01M1BALWK","Summer Mae Damen Pantoffel Schaf Warm Plüsch Weich Slipper Tierhausschuhe Grün","1","0.01%","1","0.01%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B076FWKV7V","B01M22DT7M","Summer Mae Damen A-line Lace Quaste Beiläufigkeit Herbst Kleid Retro-Look Dress,M (EU 36-38),Braun","9","0.07%","9","0.06%","78%","1","0","11.11%","0.00%","€9.90","€0.00","1","0"
"B076FWKV7V","B01M22DUD3","Summer Mae Damen A-line Lace Quaste Beiläufigkeit Herbst Kleid Retro-Look, XS (EU 32-34),Braun","3","0.02%","4","0.03%","50%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B076FWKV7V","B01M2CJRHO","Summer Mae Damen A-line Lace Quaste Beiläufigkeit Herbst Kleid Retro-Look Dress, XXL (EU 42-44),Marineblau","2","0.02%","2","0.01%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B01M3XLHCA","B01M3XLHCA","Summer Mae Damen Warm Plüsh Weich Hausschuhe Slipper","5","0.04%","5","0.03%","0%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B076FWKV7V","B01M59507R","Summer Mae Damen A-line Lace Quaste Beiläufigkeit Herbst Kleid Retro-Look Dress,L (EU 38-40),Braun","6","0.05%","6","0.04%","83%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B076FWKV7V","B01M59530X","Summer Mae Damen A-line Lace Quaste Beiläufigkeit Herbst Kleid Retro-Look Dress,S (EU 34-36),Braun","1","0.01%","2","0.01%","0%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
