Merchant SKU	Fulfillment Network SKU	ASIN	Title	Reserved Quantity	Reserved - Customer Order	Reserved - FC Transfer	Reserved - FC Processing
MZYSMZ0170*140cm	X0013X85P1	B01BHQVOS2	LINENLUX Map Printed Lace Table Cloth for Round&Rectangular&Oval Table (55.1x66.9In, White)	2	0	2	0
MZYSZHUOBUDTMAP100*140CM	X001EG1ZS1	B06XXBVWRG	LINENLUX Linens Tablecloths Picnic Burlap Tablecloth for Round&Rectangular&Oval Table Cover with Map Printed(Map,39.3x55In)	1	1	0	0
MZYSZHUOBUDTLEIS100*140CM	X001JRMNLX	B074PL73NX	LINENLUX Map Printed Lace Table Cloth for Round&Rectangular&Oval Table(39.3x55In)	6	2	4	0
MZYSZHUOBUDTMAP140*180CM	X001EFP3G7	B06XWZGBSS	LINENLUX Linens Tablecloths Picnic Burlap Tablecloth for Round&Rectangular&Oval Table Cover with Map Printed(Map,55x70.7In)	4	0	4	0
MZYSZHUOBUDTLEIS140*250CM	X001JSJZZT	B074PLCZ8Z	LINENLUX Map Printed Lace Table Cloth for Round&Rectangular&Oval Table(55.1x98.4In)	1	0	0	1
MZYSZHUOBUDTMAP60*60CM	X001EFV1IB	B071V5YMVC	LINENLUX Linens Tablecloths Picnic Burlap Tablecloth for Round&Rectangular&Oval Table Cover with Map Printed(Map,23x23In)	2	0	0	2
MZYSZHUOBUDTMAP140*220CM	X001EFOGBP	B06XX6W66W	LINENLUX Linens Tablecloths Picnic Burlap Tablecloth for Round&Rectangular&Oval Table Cover with Map Printed(Map,55x86.5In)	15	0	15	0
MZYSZHUOBUDTMAP140*140CM	X001E0CY4V	B06XXGBRDS	LINENLUX Linens Tablecloths Picnic Burlap Tablecloth for Round&Rectangular&Oval Table Cover with Map Printed(Map,55x55In)	2	0	1	1
NEWCBLUE-XL	X001O4U025	B077XVFP3Q	LINENLUX Children Raincoat, Kids Rain Poncho, Rain Jacket Rainwear With Hoods and Sleeves For Boys Girls (XL, Blue)	2	0	0	2
MZYSZHUOBUDTLEIS90*90CM	X001JSJWS9	B074PLW9HM	LINENLUX Map Printed Lace Table Cloth for Round&Rectangular&Oval Table(35.4x35.4In)	4	0	4	0
