"(父） ASIN","（子）ASIN","商品名称","买家访问次数","买家访问次数百分比","页面浏览次数","页面浏览次数百分比","购买按钮赢得率","已订购商品数量","订购数量 – B2B","订单商品数量转化率","商品转化率 – B2B","已订购商品销售额","已订购商品的销售额 – B2B","订单商品种类数","订单商品总数 – B2B"
"B07CCKX5Z7","B06XYHWH3G","MOCOTONO Men's Long Sleeve Plaid Button Down Cotton Casual Shirts Muti Plaid 16 Medium","5","0.04%","6","0.04%","83%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07CCKX5Z7","B06XYK4HHR","MOCOTONO Men's Long Sleeve Plaid Button Down Cotton Casual Shirts Muti Plaid 16 Large","6","0.05%","6","0.04%","100%","2","0","33.33%","0.00%","US$45.96","US$0.00","2","0"
"B07C75PL9W","B06XYL56KD","Men's Solid Color Oxford Long Sleeve Button Down Casual Shirt White Small","11","0.10%","12","0.09%","75%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07C75PL9W","B06XYL584W","Men's Solid Color Oxford Long Sleeve Button Down Casual Shirt Light Gray XX-Large","5","0.04%","6","0.04%","83%","1","0","20.00%","0.00%","US$22.98","US$0.00","1","0"
"B07C75PL9W","B06XYL6KXB","Men's Solid Color Oxford Long Sleeve Button Down Casual Shirt Light Gray Medium","15","0.13%","19","0.14%","89%","1","0","6.67%","0.00%","US$19.98","US$0.00","1","0"
"B07C75PL9W","B06XYL6LJH","Men's Solid Color Oxford Long Sleeve Button Down Casual Shirt Pink Large","4","0.04%","4","0.03%","0%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07CCKX5Z7","B06XYLG2DN","MOCOTONO Men's Long Sleeve Plaid Button Down Cotton Casual Shirts Muti Plaid 16 Small","4","0.04%","4","0.03%","50%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07C75PL9W","B06XYNCJV2","Men's Solid Color Oxford Long Sleeve Button Down Casual Shirt Sapphire Large","5","0.04%","5","0.04%","100%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07C75PL9W","B06XYNCJV4","Men's Solid Color Oxford Long Sleeve Button Down Casual Shirt Light Blue Large","13","0.11%","14","0.10%","100%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07C75PL9W","B06XYTL5SD","Men's Solid Color Oxford Long Sleeve Button Down Casual Shirt Light Gray X-Large","7","0.06%","8","0.06%","100%","1","0","14.29%","0.00%","US$20.98","US$0.00","1","0"
"B07C75PL9W","B06XYTL6PG","Men's Solid Color Oxford Long Sleeve Button Down Casual Shirt Sapphire X-Large","10","0.09%","10","0.07%","90%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07C75PL9W","B06XYWTJPL","Men's Solid Color Oxford Long Sleeve Button Down Casual Shirt White Medium","7","0.06%","9","0.07%","78%","1","0","14.29%","0.00%","US$19.98","US$0.00","1","0"
"B07C75PL9W","B06XYWZVMM","Men's Solid Color Oxford Long Sleeve Button Down Casual Shirt Light Pink XX-Large","1","0.01%","1","0.01%","0%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07C75PL9W","B06XYYDVWW","Men's Solid Color Oxford Long Sleeve Button Down Casual Shirt Sapphire XX-Large","5","0.04%","5","0.04%","60%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07C75PL9W","B06XYYF2K2","Men's Solid Color Oxford Long Sleeve Button Down Casual Shirt Light Pink X-Large","5","0.04%","5","0.04%","100%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07C75PL9W","B06XYYGLT1","Men's Solid Color Oxford Long Sleeve Button Down Casual Shirt Light Blue X-Large","4","0.04%","4","0.03%","100%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07C75PL9W","B06XYYLL91","Men's Solid Color Oxford Long Sleeve Button Down Casual Shirt Green XX-Large","6","0.05%","6","0.04%","0%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07C75PL9W","B06XYYYP97","Men's Solid Color Oxford Long Sleeve Button Down Casual Shirt Light Pink Large","5","0.04%","5","0.04%","100%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07C75PL9W","B06XYZBB55","Men's Solid Color Oxford Long Sleeve Button Down Casual Shirt Wine Red Medium","17","0.15%","19","0.14%","95%","3","0","17.65%","0.00%","US$62.94","US$0.00","3","0"
"B07C75PL9W","B06XYZGNQP","Men's Solid Color Oxford Long Sleeve Button Down Casual Shirt Light Blue XX-Large","3","0.03%","3","0.02%","33%","1","0","33.33%","0.00%","US$22.98","US$0.00","1","0"
"B07C75PL9W","B06XYZHW8G","Men's Solid Color Oxford Long Sleeve Button Down Casual Shirt Light Blue Medium","12","0.11%","14","0.10%","86%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07C75PL9W","B06XYZKJKJ","Men's Solid Color Oxford Long Sleeve Button Down Casual Shirt White X-Large","3","0.03%","3","0.02%","100%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07C75PL9W","B06XYZKJKL","Men's Solid Color Oxford Long Sleeve Button Down Casual Shirt Wine Red Small","13","0.11%","16","0.12%","62%","1","0","7.69%","0.00%","US$20.98","US$0.00","1","0"
"B07C75PL9W","B06XYZLGBC","Men's Solid Color Oxford Long Sleeve Button Down Casual Shirt White Large","8","0.07%","8","0.06%","100%","1","0","12.50%","0.00%","US$20.98","US$0.00","1","0"
"B07C75PL9W","B06XYZPBV7","Men's Solid Color Oxford Long Sleeve Button Down Casual Shirt Light Gray Small","16","0.14%","17","0.13%","88%","1","0","6.25%","0.00%","US$18.98","US$0.00","1","0"
"B07C75PL9W","B06XYZR9HK","Men's Solid Color Oxford Long Sleeve Button Down Casual Shirt Wine Red XX-Large","5","0.04%","5","0.04%","60%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07C75PL9W","B06XYZW1W4","Men's Solid Color Oxford Long Sleeve Button Down Casual Shirt Green Small","6","0.05%","7","0.05%","71%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07C75PL9W","B06XYZZB9L","Men's Solid Color Oxford Long Sleeve Button Down Casual Shirt Pink Small","9","0.08%","9","0.07%","33%","3","0","33.33%","0.00%","US$35.70","US$0.00","3","0"
