Merchant SKU	Fulfillment Network SKU	ASIN	Title	Condition	Price	MFN Listing Exists	MFN Fulfillable Qty	AFN Listing Exists	AFN Warehouse Qty	AFN Fulfillable Qty	AFN Unsellable Qty	AFN Encumbered Qty	AFN Total Qty	Volume	AFN Inbound Working Qty	AFN Inbound Shipped Qty	AFN Inbound Receiving Qty
CFY-M1830-BL-L	B076V4L7ZD	B076V4L7ZD	MOCOTONO Men's Rain Waterproof Winter Jacket Sports Snow Ski Outdoor Coat Blue Large	New	179.00	No		Yes	1	1	0	0	1	0.78	0	0	0
CFY-M1830-BL-M	B076V6DZHX	B076V6DZHX	MOCOTONO Men's Rain Waterproof Winter Jacket Sports Snow Ski Outdoor Coat Blue Medium	New	179.00	No		Yes	1	1	0	0	1	0.83	0	0	0
CFY-M1830-LB-XXL	B076V5RGFN	B076V5RGFN	MOCOTONO Women's Rain Waterproof Winter Jacket Sports Snow Ski Outdoor Coat Light Blue XX-Large	New	65.98	No		Yes	0	0	0	0	0	0.94	0	0	0
CFY-M1830-RD-L	B076V38YVK	B076V38YVK	MOCOTONO Women's Waterproof Rain Jacket Fleece Snow Ski Winter Coat (Large, Red)	New	65.98	No		Yes	0	0	0	0	0	0.58	0	0	0
CFY-M1830-RD-M	B076V1DD4V	B076V1DD4V	MOCOTONO Women's Waterproof Rain Jacket Fleece Snow Ski Winter Coat (Medium, Red)	New	65.98	No		Yes	1	1	0	0	1	0.54	0	0	0
CFY-M1830-RD-S	B076V493NG	B076V493NG	MOCOTONO Women's Rain Waterproof Winter Jacket Sports Snow Ski Outdoor Coat Red Small	New	62.98	No		Yes	1	1	0	0	1	0.44	0	0	0
CFY-M1830-RD-XL	B076V2MVLC	B076V2MVLC		Unknown					1	1	0	0	1		0	0	0
CFY-W1798-BL-XL	B076HQV34J	B076HQV34J	MOCOTONO Women's Waterproof Rain Jacket Fleece Snow Ski Winter Coat Blue X-Large	New	65.98	No		Yes	0	0	0	0	0	0.73	0	0	0
CFY-W1798-RD-L	B076HQYLYJ	B076HQYLYJ	MOCOTONO Women's Waterproof Rain Jacket Fleece Snow Ski Winter Coat Red Large	New	65.98	No		Yes	0	0	0	0	0	0.51	0	0	0
CFY-W1798-RD-XL	B076HMGS4Q	B076HMGS4Q	MOCOTONO Women's Waterproof Rain Jacket Fleece Snow Ski Winter Coat Red X-Large	New	65.98	No		Yes	1	1	0	0	1	0.55	0	0	0
CFY-W1798-RR-S	B076HPC6YW	B076HPC6YW	MOCOTONO Women's Waterproof Rain Jacket Fleece Snow Ski Winter Coat Pink Small	New	65.98	No		Yes	0	0	0	0	0	0.49	0	0	0
CFY-W1798-RR-XL	B076HP8HN2	B076HP8HN2	MOCOTONO Women's Waterproof Rain Jacket Fleece Snow Ski Winter Coat Pink X-Large	New	65.98	No		Yes	1	1	0	0	1	0.63	0	0	0
