Merchant SKU	Fulfillment Network SKU	ASIN	Title	Reserved Quantity	Reserved - Customer Order	Reserved - FC Transfer	Reserved - FC Processing
CS-NEW181-W902-XL	X001UDXJ4V	B0789CDSYR	Men's Oxford Long Sleeve Button Down Casual Dress Shirt White X-Large	24	2	20	2
CS-SB002-LB-XL	B074DTQM6Q	B074DTQM6Q	MOCOTONO Men's Long Sleeve Regular Fit Plaid Button Down Casual Shirts Light Blue X-Large	1	0	0	1
CS-SB005-BL1-XL	B074P36NC6	B074P36NC6	MOCOTONO Men's Long Sleeve Cotton Plaid Button Down Casual Shirts Blue X-Large	3	1	1	1
CS-SB005-BL1-2XL	B074P2L5MB	B074P2L5MB	MOCOTONO Men's Long Sleeve Cotton Plaid Button Down Casual Shirts Blue XX-Large	1	1	0	0
CS-SB006-CF-L	B074P1B8ZM	B074P1B8ZM	MOCOTONO Men's Long Sleeve Standard Fit Plaid Checked Button Up Casual Shirts Coffee Large	1	0	0	1
CS-SB005-YL-XL	B074NYLRYY	B074NYLRYY	MOCOTONO Men's Long Sleeve Cotton Plaid Button Down Casual Shirts Yellow X-Large	1	0	0	1
CS-SB006-BL2-L	B074NVGXCD	B074NVGXCD	MOCOTONO Men's Long Sleeve Standard Fit Plaid Checked Button Up Casual Shirts Sapphire Large	2	1	1	0
CS-SB006-BK-S	B074P485M2	B074P485M2	MOCOTONO Men's Long Sleeve Standard Fit Plaid Checked Button Up Casual Shirts Black Small	1	1	0	0
CS-SB005-BK-2XL	B074NQWD4N	B074NQWD4N	MOCOTONO Men's Long Sleeve Cotton Plaid Button Down Casual Shirts Black XX-Large	2	1	0	1
CS-SB006-CF-M	B074P1DYRF	B074P1DYRF	MOCOTONO Men's Long Sleeve Standard Fit Plaid Checked Button Up Casual Shirts Coffee Medium	2	1	1	0
CS-SB006-BL2-S	B074NVH8G2	B074NVH8G2	MOCOTONO Men's Long Sleeve Standard Fit Plaid Checked Button Up Casual Shirts Sapphire Small	1	0	0	1
CS-SB005-BK-L	B074P1FJYS	B074P1FJYS	MOCOTONO Men's Long Sleeve Cotton Plaid Button Down Casual Shirts Black Large	1	1	0	0
CS-SB007-BL-L	B0751B9WCV	B0751B9WCV	Mens Oxford Long Sleeve Button Down Casual Dress Shirts Light Pink XX-Large	1	0	1	0
CS-SB005-BL1-M	B074P1VP1B	B074P1VP1B	MOCOTONO Men's Long Sleeve Cotton Plaid Button Down Casual Shirts Blue Medium	1	0	0	1
CS-SB005-RD1-L	B074P25C71	B074P25C71	MOCOTONO Men's Long Sleeve Cotton Plaid Button Down Casual Shirts Scarlet Large	2	1	0	1
CS-SB009-CF-M	B07511Q71N	B07511Q71N	MOCOTONO Men's Short Sleeve Plaid Checkered Button Down Casual Shirts Coffee Medium	1	1	0	0
CS-SB009-YL-M	B07518Q4Z1	B07518Q4Z1	MOCOTONO Men's Short Sleeve Plaid Checkered Button Down Casual Shirts Yellow Medium	1	0	0	1
CS-SB009-LB1-XXL	B07512JL48	B07512JL48	MOCOTONO Men's Short Sleeve Plaid Checkered Button Down Casual Shirts Blue & Navy XX-Large	1	1	0	0
CS-SB007-LP-L	B07514NWB4	B07514NWB4	Mens Oxford Long Sleeve Button Down Casual Dress Shirts Light Pink XX-Large	1	0	0	1
CS-SB009-BK-M	B07514NV93	B07514NV93	MOCOTONO Men's Short Sleeve Plaid Checkered Button Down Casual Shirts Black Medium	1	1	0	0
CS-SB009-LB1-S	B075131VPH	B075131VPH	Men's Short Sleeve Plaid Checkered Button Down Casual Shirts Blue & Navy Small	2	1	1	0
CS-SB009-RD-L	B07514KZFR	B07514KZFR	MOCOTONO Men's Short Sleeve Plaid Checkered Button Down Casual Shirts Red Large	1	0	0	1
CS-SB030-WR-L	X001SPAR19	B07DG2J87N	Men's Short Sleeve Oxford Button Down Casual Shirt	3	0	2	1
CS-SB166-B28-4-XL	B07916PZPF	B07916PZPF	MOCOTONO Men's Long Sleeve Flannel Plaid Dress Shirt Western Button Down Shirts Yellow X-Large	1	0	0	1
CS-SB030-YL-S	B078W1DC66	B078W1DC66	Mocotono Men's Short Sleeve Oxford Button Down Casual Shirt, Yellow, Small	1	1	0	0
CS-SB030-NY-XL	X001SPBZYH	B07DG2DFH9	Men's Short Sleeve Oxford Button Down Casual Shirt	2	0	1	1
CS-SB030-WR-S	X001SPBZYR	B07DG4W15X	Men's Short Sleeve Oxford Button Down Casual Shirt	1	0	0	1
CS-SB086-LB-M	B078771NLD	B078771NLD	MOCOTONO Men's Long Sleeve Denim Western Work Shirt Denim Blue X-Large	1	0	0	1
CS-SB166-B28-4-L	B07916H4PV	B07916H4PV	MOCOTONO Men's Long Sleeve Flannel Plaid Dress Shirt Western Button Down Shirts Yellow Large	1	0	0	1
CS-SB166-B28-1-L	B07916B4RM	B07916B4RM	MOCOTONO Men's Long Sleeve Flannel Plaid Dress Shirt Western Button Down Shirts Muti Plaid Large	1	0	0	1
CS-SB086-B0-XL	B07876THBW	B07876THBW	MOCOTONO Men's Long Sleeve Denim Western Work Shirt Denim Blue X-Large	13	0	0	13
CS-SB166-B28-3-XL	B07916MXSB	B07916MXSB	MOCOTONO Men's Long Sleeve Flannel Plaid Dress Shirt Western Button Down Shirts Navy X-Large	1	1	0	0
CS-SB170-WR917-XXL	B0788JCP1X	B0788JCP1X	Mocotono Men's Short Sleeve Oxford Button Down Casual Shirt, Maroon, XX-Large	1	0	1	0
CS-SB170-W902-XL	B0788LH3L3	B0788LH3L3	Mocotono Men's Short Sleeve Oxford Button Down Casual Shirt, White, X-Large	1	1	0	0
CS-SB171-PI908-S	B0788KSD6T	B0788KSD6T	Men's Long Sleeve Oxford Regular Fit Button Down Casual Shirt Pink Small	1	0	1	0
CS-SB170-WR917-L	B0788L573R	B0788L573R	Mocotono Men's Short Sleeve Oxford Button Down Casual Shirt, Maroon, Large	1	0	0	1
CS-SB170-G912-M	B0788LBJSB	B0788LBJSB	Men's Short Sleeve Oxford Button Down Casual Shirt Green Medium	1	1	0	0
CS-SB170-PI908-XXL	B0788J3G9C	B0788J3G9C	Men's Short Sleeve Oxford Button Down Casual Shirt XX-Large	1	1	0	0
CS-SB170-LG907-XXL	B0788L9M7W	B0788L9M7W	Men's Short Sleeve Oxford Button Down Casual Shirt Light Gray XX-Large	2	1	1	0
CS-SB170-WR-XL	X001QZNLSH	B073PPP5ZG	Mocotono Men's Short Sleeve Oxford Button Down Casual Shirt, Maroon, X-Large	1	0	1	0
CS-SB170-PI908-M	B0788MSVZ1	B0788MSVZ1	Men's Short Sleeve Oxford Button Down Casual Shirt Pink Medium	3	1	1	1
CS-SB170-WR917-S	B0788FRMZ3	B0788FRMZ3	Men's Short Sleeve Oxford Button Down Casual Shirt Maroon Small	4	1	3	0
CS-SB170-LG907-M	B0788LCKVR	B0788LCKVR	Men's Short Sleeve Oxford Button Down Casual Shirt Light Gray Medium	1	0	1	0
CS-SB171-LG907-XL	B0788MSMMV	B0788MSMMV	Men's Long Sleeve Oxford Regular Fit Button Down Casual Shirt Light Gray X-Large	2	1	1	0
CS-SB171-LG907-L	B0788LX4R2	B0788LX4R2	Men's Long Sleeve Oxford Regular Fit Button Down Casual Shirt Light Gray Large	14	1	0	13
CS-SB170-WR917-M	B0788KYP6Y	B0788KYP6Y	Mocotono Men's Short Sleeve Oxford Button Down Casual Shirt, Maroon, Medium	2	0	1	1
CS-SB170-ZL918-S	B0788LH11M	B0788LH11M	Men's Short Sleeve Oxford Button Down Casual Shirt Navy Blue Small	1	0	0	1
CS-SB171-WR917-L	B0788LK4M5	B0788LK4M5	Men's Long Sleeve Oxford Regular Fit Button Down Casual Shirt Maroon Large	1	1	0	0
CS-SB171-ZL918-L	B0788N1XXM	B0788N1XXM	MOCOTONO Men's Long Sleeve Oxford Regular Fit Button Down Casual Shirt Navy Blue Large	2	0	0	2
CS-SB171-W902-XL	B0788N1TMH	B0788N1TMH	Men's Oxford Long Sleeve Button Down Dress Shirt with Pocket,White,X-Large	16	0	0	16
CS-SB171-WR917-XXL	B0788LBRVB	B0788LBRVB	Men's Long Sleeve Oxford Regular Fit Button Down Casual Shirt Maroon XX-Large	1	0	0	1
CS-SB171-WR917-XL	B0788MM9FZ	B0788MM9FZ	Men's Long Sleeve Oxford Regular Fit Button Down Casual Shirt Maroon X-Large	2	1	1	0
CS-SB181-G912-XL	B0789C39QK	B0789C39QK	Men's Oxford Long Sleeve Button Down Casual Dress Shirt,Green,X-Large	2	0	0	2
CS-SB181-G912-M	B0789DBL4N	B0789DBL4N	Men's Oxford Long Sleeve Button Down Casual Dress Shirt,Green,Medium	3	1	0	2
CS-SB181-LG907-L	B07899ZPHF	B07899ZPHF	Men's Oxford Long Sleeve Button Down Casual Dress Shirt,Light Gray,Large	1	0	0	1
CS-SB181-W902-M	B0789C7H42	B0789C7H42	Men's Oxford Long Sleeve Button Down Casual Dress Shirt,White,Medium	1	1	0	0
CS-SB181-G912-L	B0789CHCY1	B0789CHCY1	Men's Oxford Long Sleeve Button Down Casual Dress Shirt,Green,Large	1	0	0	1
CS-SB181-WR917-L	B0789CYL9S	B0789CYL9S	Men's Oxford Long Sleeve Button Down Casual Dress Shirt,Wine Red,Large	1	0	0	1
DK-LY-K157-B0-42	B073PZC3WT	B073PZC3WT	MOCOTONO Men's Casual Slim Fit Cotton Multi-Pocket Twill Cargo Shorts Sapphire Blue Tag 42/US 40	1	0	0	1
KZ-LHY001-GRY-M	X001SK4EY5	B071VFYY2V	MOCOTONO Women's Plus Size Elastic Waist Wide Leg Linen Cropped Pants Grey Medium	7	0	7	0
KZ-LHYX001-BLK-L	X001SS2BK1	B07DHF9D3T	MOCOTONO Women's Plus Size Elastic Waist Wide Leg Linen Cropped Pants Black Large	1	1	0	0
KZ-LHY001-WHT-M	X001SLFHQN	B0716LH9B7	MOCOTONO Women's Plus Size Elastic Waist Wide Leg Linen Cropped Pants White Medium	1	0	0	1
KZ-LHY001-GRY-XL	X001SQWM7Z	B07DHFBB7D	MOCOTONO Women's Plus Size Elastic Waist Wide Leg Linen Cropped Pants Grey X-Large	17	0	16	1
KZ-LHY001-BLK-XL	X001SRZUDR	B07DHDXBXW	MOCOTONO Women's Plus Size Elastic Waist Wide Leg Linen Cropped Pants Black X-Large	2	1	1	0
MY-BBS011-NY-L	X001T2RXXB	B0758YTFV7	MOCOTONO Men's V Neck Pullover Sweater Long Sleeve Cotton Casual Sweat Dress,Navy Blue,Medium	2	1	0	1
MY-BBS011-WT-M	X001T332FN	B07CMMGJGG	MOCOTONO Men's V Neck Pullover Sweater Long Sleeve Cotton Casual Sweat Dress,White,Small	3	3	0	0
MY-BBS011-NY-XL	X001T332H1	B07597RF3K	MOCOTONO Men's V Neck Pullover Sweater Long Sleeve Cotton Casual Sweat Dress,Navy Blue,Large	2	0	2	0
MY-BBS011-WT-S	X001T33BB3	B075992BXS	MOCOTONO Men's V Neck Pullover Sweater Long Sleeve Cotton Casual Sweat Dress,Black,X-Large	1	0	0	1
MY-LYPoint021-K0-L	B073XJFSC8	B073XJFSC8	MOCOTONO Men's V-Neck Long Sleeve Pullover Casual Sweater Black Large	1	0	0	1
MY-LYPoint021-BL-S	B0788HYWJ7	B0788HYWJ7	MOCOTONO Men's V-Neck Long Sleeve Regular Fit Pullover Casual Sweater Blue Small Blue Small	1	1	0	0
MY-LYPoint021-K0-XL	B073XK7RVB	B073XK7RVB	MOCOTONO Men's V-Neck Long Sleeve Pullover Casual Sweater Black X-Large	1	0	1	0
MY-LYPoint021-NY-XL	B0788CHJ3V	B0788CHJ3V	MOCOTONO Men's V-Neck Long Sleeve Pullover Casual Sweater Navy X-Large	1	1	0	0
MY-LYRound020-WR-XL	B073XJ1PM4	B073XJ1PM4	MOCOTONO Men's Long Sleeve Crew Neck Pullover Knit Sweater Wine Red X-Large	1	1	0	0
MY-LYRound020-WR-L	B073XK9BD8	B073XK9BD8	MOCOTONO Men's Long Sleeve Crew Neck Pullover Knit Sweater Wine Red Large	1	0	0	1
MY-SB011-BL-M	B0758Z97V3	B0758Z97V3	MOCOTONO Men's V Neck Pullover Sweater Long Sleeve Cotton Casual Sweat Dress,Blue,Small	1	1	0	0
MY-LYRound020-K0-XL	B073XKG8VD	B073XKG8VD	MOCOTONO Men's Long Sleeve Crew Neck Pullover Knit Sweater Black X-Large	2	1	0	1
MY-LYRound020-NY-S	B07887XX7H	B07887XX7H	MOCOTONO Men's Long Sleeve Crew Neck Pullover Knit Sweater Navy Small	3	1	1	1
MY-SB011-DG-XL	B0758WGQVQ	B0758WGQVQ	MOCOTONO Men's V Neck Pullover Sweater Long Sleeve Cotton Casual Sweat Dress,Dark Gray,Large	1	0	1	0
MY-LYRound020-K0-M	B073XJL8XK	B073XJL8XK	MOCOTONO Men's Long Sleeve Crew Neck Pullover Knit Sweater Black Medium	4	2	2	0
MY-LYRound020-GR-L	B073XK4LR3	B073XK4LR3	MOCOTONO Men's Long Sleeve Crew Neck Pullover Knit Sweater Gray Large	2	0	0	2
MY-LYPoint021-WR-XL	B073XJW69Y	B073XJW69Y	MOCOTONO Men's V-Neck Long Sleeve Pullover Casual Sweater Wine Red X-Large	1	1	0	0
MY-LYRound020-BL-L	B0788CMJ2W	B0788CMJ2W	MOCOTONO Men's Long Sleeve Crew Neck Pullover Knit Sweater Blue Large	1	0	0	1
MY-SB027-KK-L	B078TC3BK9	B078TC3BK9	MOCOTONO Men's V-Neck Cotton Sleeveless Sweater Casual Vest Khaki/Brown Large	1	0	0	1
MY-SB027-DG-XL	B078TD4NL1	B078TD4NL1	MOCOTONO Men's V-Neck Cotton Sleeveless Sweater Casual Vest Dark Gray X-Large	2	1	1	0
MY-SB027-KK-M	B078TD4DD1	B078TD4DD1	MOCOTONO Men's V-Neck Cotton Sleeveless Sweater Casual Vest Khaki/Brown Medium	1	0	0	1
MY-SB026-KK-XL	B078SLXQDC	B078SLXQDC	MOCOTONO Mens Long Sleeve Turtle Neck Zip Pullover Sweater Khaki X-Large	1	0	0	1
MY-SB027-DG-L	B078TBRRY1	B078TBRRY1	MOCOTONO Men's V-Neck Cotton Sleeveless Sweater Casual Vest Dark Gray Large	1	0	0	1
MY-SB026-BK-XL	B078SM9WX3	B078SM9WX3	MOCOTONO Mens Long Sleeve Turtle Neck Zip Pullover Sweater Black X-Large	3	1	2	0
MY-SB021-BL-M	B07C4GBN6N	B07C4GBN6N	MOCOTONO Men's V-Neck Long Sleeve Regular Fit Pullover Casual Sweater Blue Medium Blue Medium	2	1	1	0
MY-SBRound020-GR-M	X001SV45RZ	B073XJW9GC	MOCOTONO Men's Long Sleeve Crew Neck Pullover Knit Sweater Gray Medium	1	0	0	1
MY-SBPoint021-NY-M	X001SV95HP	B0788F8PXB	MOCOTONO Men's V-Neck Long Sleeve Pullover Casual Sweater Navy Medium	7	0	6	1
MY-SBPoint021-GR-M	X001SVULT1	B073XJLTJW	MOCOTONO Men's V-Neck Long Sleeve Pullover Casual Sweater Light Gray Medium	3	0	3	0
MY-SBPoint021-NY-L	X001SV95HZ	B0788F4HMX	MOCOTONO Men's V-Neck Long Sleeve Pullover Casual Sweater Navy Large	7	0	7	0
MY-SBPoint021-BK-M	X001SW06RH	B073XK1K4N	MOCOTONO Men's V-Neck Long Sleeve Pullover Casual Sweater Black Medium	5	0	5	0
MY-SBPoint021-NY-S	X001SW06RR	B0788CCG33	MOCOTONO Men's V-Neck Long Sleeve Pullover Casual Sweater Navy Small	1	1	0	0
MY-SBRound020-NY-XL	X001SW06R7	B07C4RDLSK	MOCOTONO Men's Long Sleeve Crew Neck Pullover Knit Sweater Navy X-Large	1	1	0	0
MY-SBRound020-GR-S	X001SW06HH	B073XKL2LF	MOCOTONO Men's Long Sleeve Crew Neck Pullover Knit Sweater Gray Small	5	0	5	0
MY-SBRound020-NY-M	X001SV9VP1	B0788GD6MN	MOCOTONO Men's Long Sleeve Crew Neck Pullover Knit Sweater Navy Medium	3	0	3	0
MY-SBRound020-BK-S	X001SVULPZ	B073XJZ6XV	MOCOTONO Men's Long Sleeve Crew Neck Pullover Knit Sweater Black Small	2	1	0	1
POLO-1503-GR-M	B0788LXZHN	B0788LXZHN	MOCOTONO Men's Long Sleeve Casual Collared Polo Shirt Top Grey M	1	1	0	0
