snapshot-date	sku	fnsku	asin	product-name	condition	avaliable-quantity(sellable)	qty-with-removals-in-progress	inv-age-0-to-90-days	inv-age-91-to-180-days	inv-age-181-to-270-days	inv-age-271-to-365-days	inv-age-365-plus-days	currency	qty-to-be-charged-ltsf-6-mo	projected-ltsf-6-mo	qty-to-be-charged-ltsf-12-mo	projected-ltsf-12-mo	units-shipped-last-7-days	units-shipped-last-30-days	units-shipped-last-60-days	units-shipped-last-90-days	alert	your-price	sales_price	lowest_price_new	lowest_price_used	Recommended action	Healthy Inventory Level	Recommended sales price	Recommended sale duration (days)	Recommended Removal Quantity	Estimated cost savings of removal
2018-06-13	MY71115MSXXL	B0761N46BN	B0761N46BN	ZAIAI Women's Coat with Fur Hood with 90% Down Parka Puffer Jacket Beige XL	New	6	0	0	6	0	0	0	USD	6	52.72	0	0.0	0	2	2	2		34.39	34.39	34.39	0.0	Improve recommendations	3	34.39	63	0	2.198167
2018-06-13	PJ-CPH7-5MXE	X001K0YGJ1	B01G3AIYJO	Gratiae Organic Beauty By Nature Exfoliating Body Scrub, Apple/Green Tea and Ginger by Gratiae Organic Beauty By Nature	New	121	0	1	3	1	116	0	USD	119	46.63	0	0.0	0	5	8	11	Low traffic	17.99	17.99	17.99	0.0	Advertise listing	113	18.29	28	0	2.089995
2018-06-13	DW-MG8E-BMQG	X0014UY1GP	B00157ZFC0	Premier Dead Sea Body Butter Herbal Scent	New	16	0	0	0	1	0	15	USD	1	0.99	15	29.64	2	2	2	2	Low traffic	19.99	19.99	19.99	0.0	Advertise listing	17	19.99	0	0	0.0
2018-06-13	MY16055K0L	B0761V7L2R	B0761V7L2R	ZAIAI Womens Hooded Warm Winter Faux Fur Lined Parkas Anoraks Long Coats Black L	New	13	0	0	13	0	0	0	USD	13	82.29	0	0.0	0	0	2	3	Low conversion	42.99	34.39	34.39	0.0	Create Sale	0	29.18	364	0	895.241024
2018-06-13	MY16055MSS	B0761Q9VPH	B0761Q9VPH	ZAIAI Womens Wool Jacket Coat Outwear Parka Overcoat Beige S	New	7	0	0	7	0	0	0	USD	7	44.31	0	0.0	0	0	0	0	Low conversion	40.54	40.54	40.54	0.0	Create Sale	0	37.98	63	0	574.155548
2018-06-13	MY16055ZQXXL	B0761NGYTK	B0761NGYTK	Womens Hooded Warm Coats Parkas With Fax Fur Jackets Navy XXL	New	6	0	0	6	0	0	0	USD	6	37.98	0	0.0	0	1	1	2		42.49	42.49	42.49	0.0	Improve recommendations	6	42.49	0	0	0.0
2018-06-13	MY71107MSXL	B0761NNM84	B0761NNM84	ZAIAI Women's Parka Winter Coat Overcoat Long Down Jacket Outwear Beige XL	New	4	0	2	2	0	0	0	USD	2	24.96	0	0.0	0	0	1	3	Low conversion	42.99	42.99	42.99	0.0	Improve recommendations	4	42.99	0	0	0.0
2018-06-13	HF-a80e-BTBM	X001S9JE3R	B001561M00	Premier Dead Sea Intensive Biox Thermal Beauty Mask**NEW IN BOX**SAME IN MALL**	New	55	0	55	0	0	0	0	USD	0	0.0	0	0.0	2	8	8	8	Low traffic	53.49	53.49	53.49	0.0	Advertise listing	56	53.49	0	0	0.0
2018-06-13	MY71115K0S	B0761PDHV5	B0761PDHV5	ZAIAI Women's Coat with Fur Hood with 90% Down Parka Puffer Jacket Black XS	New	15	0	0	15	0	0	0	USD	15	131.81	0	0.0	0	0	0	1	Low conversion	34.39	34.39	34.39	0.0	Create Sale	0	30.78	63	0	1489.600773
2018-06-13	MY16055MSXXL	B0761QW2JK	B0761QW2JK	ZAIAI Womens Wool Jacket Coat Outwear Parka Overcoat Beige XXL	New	7	0	0	7	0	0	0	USD	7	44.35	0	0.0	0	0	0	0	Low conversion	40.6	40.6	40.6	0.0	Create Sale	0	37.96	63	0	571.368587
2018-06-13	MY71115MSM	B0761PV952	B0761PV952	ZAIAI Women's Coat With Fur Hood With 90% Down Parka Puffer Jacket Beige M	New	7	0	0	7	0	0	0	USD	7	61.51	0	0.0	0	0	0	1	Low conversion	34.39	34.39	34.39	0.0	Create Sale	2	32.47	35	0	712.208744
2018-06-13	MY16055MSL	B0761S59N6	B0761S59N6	ZAIAI Womens Wool Jacket Coat Outwear Parka Overcoat Beige L	New	6	0	0	6	0	0	0	USD	6	37.98	0	0.0	1	1	2	2		42.99	42.99	42.99	0.0	Create Sale	0	40.33	63	0	587.602073
2018-06-13	5X-E8TX-UKIW	X00171A4VR	B002DYY35Y	Premier Dead Sea Mineral Body Treatment - Salt Scrub - Lemon Aroma	New	19	0	1	1	1	1	15	USD	3	0.44	15	4.41	0	0	1	3	Low traffic	17.99	17.99	17.39	0.0	Advertise listing	19	17.99	0	0	0.0
2018-06-13	IM-YEIX-VVX8	X001HAFDZ5	B0016VW618	Premier Usa Dead Sea shaving Cream for Men All Skin	New	125	0	1	0	0	124	0	USD	1	0.01	123	2.47	3	13	21	24	Low traffic	15.49	15.49	15.49	0.0	Advertise listing	125	15.99	0	0	0.0
2018-06-13	HF-a10e-MINM	X001REQDTV	B0010BBCFK	Premier Dead Sea Miracle Noir Mask, 2.04 Fluid Ounce	New	65	0	65	0	0	0	0	USD	0	0.0	0	0.0	3	14	14	14		42.48	42.48	42.48	0.0	Improve recommendations	69	42.48	0	0	0.0
2018-06-13	HF-c1e-MCND	X001Q1E1BR	B00384AO7O	Dead Sea Premier Moisture Cream (for very dry & sensitive skin)	New	38	0	38	0	0	0	0	USD	0	0.0	0	0.0	0	0	0	0	Low traffic	36.89	36.89	36.89	0.0	Advertise listing	0	36.89	63	0	172.269529
2018-06-13	5D-ZS9Q-CYOL	X001A8Y035	B003Y7D0HQ	Premier Dead Sea Pearl White Cream Complex, 2.04-Fluid Ounce	New	2	0	2	0	0	0	0	USD	0	0.0	0	0.0	0	0	1	2	Low traffic	62.79	62.79	62.39	0.0	Advertise listing	2	65.99	0	0	0.0
2018-06-13	MY16055K0XL	B0761N3HJ3	B0761N3HJ3	Womens Hooded Warm Winter Faux Fur Lined Parkas Anoraks Long Coats Black XL	New	12	0	2	10	0	0	0	USD	10	63.3	0	0.0	0	0	1	4	Low conversion	39.99	39.99	39.99	0.0	Create Sale	10	36.27	14	0	2.625234
2018-06-13	MY71115K0XL	B0761NGWJD	B0761NGWJD	ZAIAI Women's Coat with Fur Hood with 90% Down Parka Puffer Jacket Black L	New	15	0	2	13	0	0	0	USD	13	114.23	0	0.0	0	1	2	4		42.99	42.99	42.99	0.0	Create Sale	0	25.24	105	0	1165.720624
2018-06-13	HF-a37e-FCMG	X001PZ8W3H	B004H09KEQ	Premier Dead Sea Luxury Facial Cleanser with Micro Grains, 4.25-Fluid Ounce	New	74	0	74	0	0	0	0	USD	0	0.0	0	0.0	8	8	21	22	Low traffic	23.99	23.99	23.4	0.0	Advertise listing	0	21.57	364	0	1034.737196
2018-06-13	JQ-N6LK-OQ03	X001B547J9	B01JSONMH6	Gratiae Organic Beauty Renewing Peeling Gel	New	45	0	1	44	0	0	0	USD	44	10.53	0	0.0	2	7	34	62	Low traffic	46.99	46.99	46.99	0.0	Advertise listing	46	50.5	0	0	0.0
2018-06-13	HF-a69e-PEFG	X001PZ8VND	B00BD3OU72	Premier Dead Sea Para-pharmaceutical Exfoliating Facial Gel, Brown, 4.3958-Fluid Ounce	New	88	0	88	0	0	0	0	USD	0	0.0	0	0.0	2	5	5	5	Low traffic	25.69	25.69	25.69	0.0	Advertise listing	93	25.69	0	0	0.0
2018-06-13	HF-n2ae-NBNK	X001R7T2N7	B004H02GDI	Dead Sea Premier Beautifying Nail Kit Milk and Honey - Body Lotion,Cuticle Oil,Nail File,Buffing Block	New	31	0	31	0	0	0	0	USD	0	0.0	0	0.0	15	20	20	20	Low traffic	16.49	16.49	16.49	0.0	Advertise listing	41	17.99	0	0	0.0
2018-06-13	MY71115MSXL	B0761PWB12	B0761PWB12	ZAIAI Women's Coat with Fur Hood with 90% Down Parka Puffer Jacket Beige L	New	8	0	0	8	0	0	0	USD	8	70.3	0	0.0	0	0	0	0	Low conversion	34.39	34.39	34.39	0.0	Improve recommendations	0	34.39	63	0	745.397493
2018-06-13	MY71107K0XL	B0761PVQYZ	B0761PVQYZ	ZAIAI Women's Parkas Anoraks Long Coats with Removable Faux Fur Trim Hood Black XL	New	7	0	7	0	0	0	0	USD	0	0.0	0	0.0	0	1	1	10		42.99	42.99	42.99	0.0	Create Sale	0	38.73	154	0	826.087383
2018-06-13	HF-a56e-EYES	X001QBJD9R	B00115TXRE	Dead Sea Premier Eye Serum.	New	63	0	63	0	0	0	0	USD	0	0.0	0	0.0	2	2	23	27		47.99	47.99	45.55	0.0	Create Sale	10	38.31	364	0	247.96527
2018-06-13	MY71107MSXXL	B0761PTZY2	B0761PTZY2	ZAIAI Women's Parka Winter Coat Overcoat Long Down Jacket Outwear Beige XXL	New	3	0	2	1	0	0	0	USD	1	12.48	0	0.0	1	2	2	5		42.99	42.99	42.99	0.0	Improve recommendations	4	42.99	0	0	0.0
2018-06-13	MY71115K0XXL	B0761SKR3P	B0761SKR3P	ZAIAI Women's Coat with Fur Hood with 90% Down Parka Puffer Jacket Black XL	New	12	0	2	10	0	0	0	USD	10	87.87	0	0.0	0	1	4	7		42.99	42.99	42.99	0.0	Improve recommendations	12	42.99	0	0	0.0
2018-06-13	MY71115MSL	B0761NFTQC	B0761NFTQC	ZAIAI Women's Coat with Fur Hood with 90% Down Parka Puffer Jacket Beige M	New	8	0	0	8	0	0	0	USD	8	70.3	0	0.0	0	0	0	0	Low conversion	34.39	34.39	34.39	0.0	Improve recommendations	0	34.39	63	0	745.397493
2018-06-13	A5-X9GB-M912	X001K0ZSB1	B002DL9M2G	Premier Dead Sea Luxurious Anti-aging Neck Cream, 2.04 oz	New	6	0	0	6	0	0	0	USD	6	1.49	0	0.0	3	3	29	46	Low traffic	39.21	39.21	39.21	0.0	Advertise listing	9	39.21	0	0	0.0
2018-06-13	3S-1QX9-6RRP	X001MU9L2B	B001DXOWA2	Premier Dead Sea Ageless Future Cell Renewal Cream	New	47	0	2	3	42	0	0	USD	44	12.28	0	0.0	2	18	30	41	Low traffic	49.99	49.99	49.99	0.0	Advertise listing	45	49.99	0	0	0.0
2018-06-13	HF-l3e-TEYG	X001PZ8VNN	B00383XLTS	Premier Dead Sea Biox Intensive Age Treatment Eye Cream Gel	New	80	0	80	0	0	0	0	USD	0	0.0	0	0.0	2	2	16	16	Low traffic	51.89	51.89	51.86	0.0	Advertise listing	80	51.89	0	0	0.0
2018-06-13	PW-89MW-RR8Y	X001K6FG17	B004H07KKC	Premier Dead Sea Skin Toner for Normal/Oily Skin, Pink, 8.4535-Fluid Ounce	New	133	0	0	0	1	132	0	USD	133	14.54	0	0.0	0	4	4	4	Low traffic	40.99	40.99	40.99	0.0	Advertise listing	43	32.06	364	0	266.761242
2018-06-13	MY16055K0S	B0761S8TXR	B0761S8TXR	ZAIAI Womens Hooded Warm Winter Faux Fur Lined Parkas Anoraks Long Coats Black S	New	15	0	0	15	0	0	0	USD	15	94.96	0	0.0	0	0	0	0	Low conversion	38.8	38.8	38.8	0.0	Create Sale	0	34.06	63	0	1182.434756
